full_text,clean_text,sentiment,confidence,label_final,platform
Dari pada gaji teu dibayar mending #KaburAjaDulu,dari pada gaji teu dibayar lebih baik kaburajadulu,negatif,98.2,negatif,X
@iunoverse hari yg indah untuk menjadi pelaku #KaburAjaDulu,hari yang indah untuk menjadi pelaku kaburajadulu,positif,97.98,positif,X
@CH1MMYc00kyQT63 Info cara pindah negara #KaburAjaDulu,informasi cara pindah negara kaburajadulu,netral,88.78,netral,X
Tiap liat temen yg #kaburajadulu ikutan seneng sih tp aq mau juga ya Allah ,tiap lihat teman yang kaburajadulu ikutan seneng sih tapi saya mau juga iya allah,positif,97.48,positif,X
Padahal si bowok ini pernah di tolong orang² levant jordan pas dulu #kaburajadulu,padahal si bowok ini pernah di tolong orang² levant jordan pas dulu kaburajadulu,netral,84.12,netral,X
namun tetap pada keyakinan pushing forward buat #kaburajadulu bener-bener ngepush terus lamaran di luar negri. akan aku temukan employer yang mau cover visa + relocation. bismillah ya allahhhhh!!!!,namun tetap pada keyakinan pushing forward buat kaburajadulu benar benar ngepush terus lamaran di luar negri akan aku temukan employer yang mau cover visa relocation bismillah iya allahhhhh,positif,85.03,positif,X
Ya Allah terima kasih sudah diberi kesempatan untuk #KaburAjaDulu dari negara yg kualitas pejabatnya seperti ini ,iya allah terima kasih sudah diberi kesempatan untuk kaburajadulu dari negara yang kualitas pejabatnya seperti ini,positif,87.13,positif,X
ini komedi papan atas STRAIGHT TO THE POINT (sbnrnya bkn males aja) (tp iya si jd males) #kaburajadulu https://t.co/YOpdDIc4CT,ini komedi papan atas straight to the point sbnrnya bukan males saja tapi iya si jadi males kaburajadulu,negatif,99.34,negatif,X
kualitas PNS terutama di tingkat atas msh jelek kerusakan dr 2022 tidak segera tertangani. alhasil ketika ada MBG yg disalahin MBG nya pdhl baru ada di pertengahan taun ini. jadi selama 2 taun lebih ngapain aja? mau #kaburajadulu tp kasian jg sama ini negara,kualitas pns terutama di tingkat atas masih jelek kerusakan dr tidak segera tertangani alhasil ketika ada mbg yang disalahin mbg nya pdhl baru ada di pertengahan tahun ini jadi selama tahun lebih sedang apa saja mau kaburajadulu tapi kasian juga sama ini negara,negatif,99.71,negatif,X
at this point buat gua opsi #kaburajadulu selalu lebih menarik selama tempat tujuannya punya: 1. Jaminan kesehatan 2. Jaminan pendidikan 3. Kepastian hukum yg lebih baik dari indo. Yg mana ini standard yg rendah banget sebenernya wkwk.,at this point buat saya opsi kaburajadulu selalu lebih menarik selama tempat tujuannya punya jaminan kesehatan jaminan pendidikan kepastian hukum yang lebih baik dari indo yang mana ini standard yang rendah banget sebenernya wkwk,positif,85.29,positif,X
#KaburAjaDulu negeri jiran ada juga ,kaburajadulu negeri jiran ada juga,negatif,98.97,negatif,X
@ch4o5Myth @daddyyuki Ini yg kena arus #KaburAjaDulu udah jelas. Dibenarkan banyak netizen genZ. Dr Refa Kashiki s.d Dian (Neo Japan) ngasi paham malah diserang personal. Jaman now walau speak kebenaran tp gk sesuai maunya echo chamber auto diserang personal. Aneh ,ini yang kena arus kaburajadulu sudah jelas dibenarkan banyak netizen genz dr refa kashiki s di dian neo japan ngasi paham bahkan diserang personal jaman now walau speak kebenaran tapi gk sesuai maunya echo chamber auto diserang personal aneh,negatif,99.73,negatif,X
@daddyyuki @ch4o5Myth Usia 22 bener2 korban FOMO #KaburAjaDulu ‍️,usia benar korban fomo kaburajadulu,negatif,84.09,negatif,X
@Delta_tofu @ch4o5Myth @daddyyuki Itu dia! Dan diberita sana ada dua nama yg kesebut : 1. INDONESIA &gt; Negara Asal 2. MUHAMMAD &gt; Nama Pelaku &gt; nama yg identik dgn umat muslim Gara2 mental kabur aja 2 identitas dirugikan Dari awal gk setuju diksi #KaburAjaDulu Kabur &gt; lari dr sesuatu tanpa mikir panjang ‍️,itu dia dan diberita sana ada dua nama yang kesebut indonesia begitu negara asal muhammad begitu nama pelaku begitu nama yang identik dengan umat muslim gara mental kabur saja identitas dirugikan dari awal gk setuju diksi kaburajadulu kabur begitu lari dr sesuatu tanpa mikir panjang,negatif,99.55,negatif,X
@goraici @FelixSGL1 kayanya gue kalo dapet kue dan kursi bakal lupa daratan juga sih wkwkwkwkwk #KaburAjaDulu,kayaknya saya kalau dapat kue dan kursi bakal lupa daratan juga sih wkwkwkwkwk kaburajadulu,negatif,94.47,negatif,X
Mana yg dulu teriak2 #KaburAjaDulu?! Waktu menjawab kan! Kalau sudah gini kicep lo pada. PENGECUT! Jangan denger orang2 FOMO dengerlah mereka yg berjuang dr nol jaga nama baik seperti: Refa Enra Dian (neo japan). Bukan malah dimusuhi krn mereka speak yg bener! @ch4o5Myth https://t.co/mhYpVNmAx4,mana yang dulu teriak kaburajadulu waktu menjawab kan kalau sudah gini kicep kamu pada pengecut jangan denger orang fomo dengerlah mereka yang berjuang dr nol jaga nama baik seperti refa enra dian neo japan bukan bahkan dimusuhi karena mereka speak yang benar,negatif,99.21,negatif,X
Terima kasih kamar ini yang sudah menjadi awal pertualangan yang seru. Sekarang waktunya saya izin meninggalkan tempat ini untuk melebarkan sayap ke negeri yang baru. Bismillah. Semoga dilancarkan di negeri singa keluar air itu #KaburAjaDulu https://t.co/zRLLWhbM97,terima kasih kamar ini yang sudah menjadi awal pertualangan yang seru sekarang waktunya saya izin meninggalkan tempat ini untuk melebarkan sayap ke negeri yang baru bismillah semoga dilancarkan di negeri singa keluar air itu kaburajadulu,positif,98.53,positif,X
oke ga jadi #kaburajadulu tapi gapapa https://t.co/e0sWyKU0zb,oke ga jadi kaburajadulu tapi gapapa,positif,77.05,positif,X
@dick76083 Org singapur udah ngomong kayak gitu apa kaga malu ya org indo yg mau atau udah #kaburajadulu ? ,org singapur sudah bicara kayak gitu apa tidak malu iya org indo yang mau atau sudah kaburajadulu,negatif,97.25,negatif,X
Terus i told yang ti that i will go to jogja this dec to take jlpt. And she was like kenapa jauh sekali dibelabelain tes memang buat apa? . Kujawab #kaburajadulu terus she was genuinely concerned kabur dari apa? kenapaa? dibicarakan dulu... GOD PROTECT THIS WOMAN PLS ,terus i told yang ti that i will go to jogja this dec to take jlpt and she was like kenapa jauh sekali dibelabelain tes memang buat apa kujawab kaburajadulu terus she was genuinely concerned kabur dari apa kenapaa dibicarakan dulu god protect this woman pls,negatif,97.06,negatif,X
apply aja apa ya ya allah ? #kaburajadulu gitu maksudku.,apply saja apa iya iya allah kaburajadulu gitu maksudku,negatif,99.16,negatif,X
@bunuhidolamu @hrdbacot Udah bisa adu nasib sama negara 4 seasons indonesia selain pemerintah macam iblis cuaca juga bikin gatahan. Baiknya memang #kaburajadulu https://t.co/JC67THrKSl,sudah bisa adu nasib sama negara seasons indonesia selain pemerintah macam iblis cuaca juga bikin gatahan baiknya memang kaburajadulu,negatif,98.67,negatif,X
Mau banget jawab ini insyaAllah ketika dapat kepastian #kaburajadulu. Ikhtiar terus pokoknya.,mau banget jawab ini insyaallah ketika dapat kepastian kaburajadulu ikhtiar terus pokoknya,positif,98.02,positif,X
@weebszz dan bodohnya mereka menyempitkan makna keresahan masyarakat dari #KaburAjaDulu sebagai persoalan kurangnya nasionalisme yg gak masuk akal itu,dan bodohnya mereka menyempitkan makna keresahan masyarakat dari kaburajadulu sebagai persoalan kurangnya nasionalisme yang gak masuk akal itu,negatif,99.67,negatif,X
@tanyakanrl #kaburajadulu kalian mau kemana? Kalau aku sih ke Jerman atau Swiss,kaburajadulu kalian mau kemana kalau aku sih ke jerman atau swiss,negatif,98.21,negatif,X
Dua professional dari Indonesia yang berprofesi sebagai arsitek sudah berangkat ke Jepang untuk bekerja di bidang manajemen konstruksi. Di luar dua ini adalagi beberapa yang sudah sampai juga tapi kandidat ga berkenan untuk dipublikasikan. Kamu kapan ikut #KaburAjaDulu ? https://t.co/8xOYOgNRHI,dua professional dari indonesia yang berprofesi sebagai arsitek sudah berangkat ke jepang untuk bekerja di bidang manajemen konstruksi di luar dua ini adalagi beberapa yang sudah sampai juga tapi kandidat ga berkenan untuk dipublikasikan kamu kapan ikut kaburajadulu,negatif,96.8,negatif,X
@odebukanpuisi Pembunuh yang diselamatkan ke Yordania sekaligus Testimoni #KaburAjaDulu,pembunuh yang diselamatkan ke yordania sekaligus testimoni kaburajadulu,netral,99.38,netral,X
[ADS] Buat yang tertarik bisa follow @les_kopula dulu biar gak ketinggalan info! Share juga biar temen kalian yang butuh untuk #KaburAjaDulu bisa ikut #BeasiswaKopula ini ya!,ads buat yang tertarik bisa follow dulu biar gak ketinggalan informasi share juga biar teman kalian yang butuh untuk kaburajadulu bisa ikut beasiswakopula ini iya,netral,83.09,netral,X
buka x sekarang cuma buat cari motivasi belajar karena tiap buka x bawaannya muak sama pemerintah disini pengen buru-buru #kaburajadulu,buka x sekarang cuma buat cari motivasi belajar karena tiap buka x bawaannya muak sama pemerintah disini pengen buru buru kaburajadulu,negatif,99.82,negatif,X
duluan ya #KaburAjaDulu https://t.co/OPPryeZzUI,duluan iya kaburajadulu,negatif,99.6,negatif,X
@Waelaahh Ehhh itu repost 2 minggu yg lalu edisi lg kangen Negara orang aja #KaburAjaDulu,ehhh itu repost minggu yang lalu edisi lagi kangen negara orang saja kaburajadulu,negatif,86.38,negatif,X
@ekky1995 Secara ga langsung Indonesia dianggap super power oleh Malaysia dan Singapore bisa ngatur FIFA #KaburAjaDulu,secara ga langsung indonesia dianggap super power oleh malaysia dan singapore bisa ngatur fifa kaburajadulu,negatif,93.83,negatif,X
ADUH MENDING AKU JADI WARGA SAUDI AJA #kaburajadulu,aduh lebih baik aku jadi warga saudi saja kaburajadulu,negatif,99.65,negatif,X
Rasanya ingin #kaburajadulu,rasanya ingin kaburajadulu,negatif,99.07,negatif,X
@reynaa Congratssss ieltsnya karuyaaa! Maw robux @Syavierla ajh karna dah pensi palo selain karna skinku bacon i just wish u allllll the best on your long journey kedepannyaaa doakan ak juga bisa dapet skor tinggi dan one shot pas tes jerman ntar semoga kita sukses via #Kaburajadulu,congratssss ieltsnya karuyaaa maw robux ajh karena deh pensi palo selain karena skinku bacon i just wish kamu allllll the best on your long journey kedepannyaaa doakan saya juga bisa dapat skor tinggi dan one shot pas tes jerman nanti semoga kita sukses via kaburajadulu,positif,98.76,positif,X
@adith_wp @LutfiHidayatR Udah jadi penggerak #KaburAjaDulu kok ga bisa lari,sudah jadi penggerak kaburajadulu kok ga bisa lari,negatif,99.7,negatif,X
@kiokunodilemma @hrdbacot Jalan2 sama tinggal 1-2 tahun beda sh ka rasanya. Walopun kangen sama abang2 cilok ato nasgor tetep menurut gw ga bisa menghalangi gw utk ga #kaburajadulu,jalan sama tinggal tahun beda sh kakak rasanya walopun kangen sama abang cilok atau nasi goreng tetep menurut saya ga bisa menghalangi saya untuk ga kaburajadulu,positif,99.01,positif,X
Dari awal tahun udah rencana #kaburajadulu karena alasan ekonomi sekarang makin yakin untuk cabut dari sini karena pemerentahnya pendukung zionis,dari awal tahun sudah rencana kaburajadulu karena alasan ekonomi sekarang makin yakin untuk pergi dari sini karena pemerentahnya pendukung zionis,negatif,82.66,negatif,X
@inboundandhot kan mereka gapeduli sama orang lain maunya #KaburAjaDulu,kan mereka gapeduli sama orang lain maunya kaburajadulu,negatif,99.64,negatif,X
@hrdbacot Yeyy tahun ini lulus smoga bisa #kaburajadulu,yeyy tahun ini lulus smoga bisa kaburajadulu,positif,93.89,positif,X
@dityaawahyu Amannn capt udeh sukses dah yeee #KaburAjaDulu,amannn capt udeh sukses deh yeee kaburajadulu,positif,98.8,positif,X
Pamer otot Kepencet follow kabur #kaburajadulu,pamer otot kepencet follow kabur kaburajadulu,negatif,99.67,negatif,X
Boleh ga sih #kaburajadulu dari keluarga? Gue capek banget: ,boleh ga sih kaburajadulu dari keluarga saya capek banget,negatif,99.66,negatif,X
Gits kl ga inget kerjaan dia sebagai idol ibu kota kayaknya udah ikutan trend #kaburajadulu tuh dia ,gits kalau ga inget kerjaan dia sebagai idol ibu kota kayaknya sudah ikutan trend kaburajadulu tuh dia,positif,78.17,positif,X
Tempo kok mau angkut cerita legenda rakyat pdhl saksi mata &amp; bukti foto ada dia #kaburajadulu,tempo kok mau angkut cerita legenda rakyat pdhl saksi mata amp bukti foto ada dia kaburajadulu,negatif,99.01,negatif,X
Mau #KaburAjaDulu ke Australia? Ingin hijrah &amp; jadi penduduk tetap di sana? 🇦🇺 Bagaimana caranya? Gak usah bingung segera Hubungi INTEGRITY LAWYERS satu-satunya law firm Indonesia yang berpraktik di Australia berkantor di Melbourne Sydney selain Jakarta. Profesor Denny https://t.co/EU601ThbTE,mau kaburajadulu ke australia ingin hijrah amp jadi penduduk tetap di sana bagaimana caranya gak perlu bingung segera hubungi integrity lawyers satu satunya law firm indonesia yang berpraktik di australia berkantor di melbourne sydney selain jakarta profesor denny,netral,86.76,netral,X
Influencer NON Berbayar. Niat kami hanya ingin MENCEGAH penipuan cara gampang cari kerja dan pindah ke Australia 🇦🇺 yg blakangan marak banget. Penipunya makin GAMPANG dapet korban karena netijen terprovokasi tagar #kaburajadulu Merantau itu keren tapi ga bisa FOMO https://t.co/Km5KJQFWQZ,influencer non berbayar niat kami hanya ingin mencegah penipuan cara gampang cari kerja dan pindah ke australia yang blakangan marak banget penipunya makin gampang dapat korban karena netijen terprovokasi tagar kaburajadulu merantau itu keren tapi ga bisa fomo,negatif,98.81,negatif,X
Kirain dah duluan #kaburajadulu ,kirain deh duluan kaburajadulu,negatif,99.68,negatif,X
@kiokunodilemma @hrdbacot Kak emg ga benci negaranya. Hasrat #kaburajadulu tu karena udah desperate mo bnerin sistemnya gmn. Mo usaha di pemilu juga blom ada hasil.,kak emg ga benci negaranya hasrat kaburajadulu tu karena sudah desperate mau bnerin sistemnya gmn mau usaha di pemilu juga blom ada hasil,negatif,99.67,negatif,X
Iya ngga ya? #KaburAjaDulu https://t.co/PpGU1vOOhl,iya tidak iya kaburajadulu,negatif,99.61,negatif,X
@hrdbacot Long termnya ya #kaburajadulu tentu aja concernnya lebih ke anak sih. Temen ada yg awalnya kerja di Norway tapi terus dibawa keluarganya. Dengan penghasilannya di situ udah enak banget lah untuk hidup di Indo. Tapi concernnya pendidikan &amp; kesempatan yg lebih luas untuk anaknya.,long termnya iya kaburajadulu tentu saja concernnya lebih ke anak sih teman ada yang awalnya kerja di norway tapi terus dibawa keluarganya dengan penghasilannya di situ sudah enak banget lah untuk hidup di indo tapi concernnya pendidikan amp kesempatan yang lebih luas untuk anaknya,positif,98.55,positif,X
@hrdbacot lohh justru orang dengan gaji &gt;35 juta malah makin mau #kaburajadulu ga sih min karena udah ada modal. yang ga mau antara daerah rumahnya nyaman karena keluarga atau pejabat pemerintah,lohh justru orang dengan gaji begitu juta bahkan makin mau kaburajadulu ga sih min karena sudah ada modal yang ga mau antara daerah rumahnya nyaman karena keluarga atau pejabat pemerintah,negatif,99.35,negatif,X
Ga ada kepikiran #kaburajadulu krn sudah berkeluarga dan ortu masih ada. Plus disuruh jagain warisan keluarga. Di Sukabumi polusi sedikit transum mmg ga ok tapi suhu udaranya yg adem banyak pegunungan air terjun laut bikin ga mau geser kemanapun. Jam kerja flexible,ga ada terpikirkan kaburajadulu karena sudah berkeluarga dan orang tua masih ada plus disuruh jagain warisan keluarga di sukabumi polusi sedikit transum mmg ga ok tapi suhu udaranya yang adem banyak pegunungan air terjun laut bikin ga mau geser kemanapun jam kerja flexible,positif,98.47,positif,X
@hrdbacot Tentunya selain kualitas hidup secara umum pendidikan dan lingkungan untuk anak tumbuh kembang jd faktor krusial buat saya dan istri memutuskan buat #kaburajadulu. ((Kayaknya kalo krn muak sama pemerintah gausah disebut jg dah pd tau lah ya)),tentunya selain kualitas hidup secara umum pendidikan dan lingkungan untuk anak tumbuh kembang jadi faktor krusial buat saya dan istri memutuskan buat kaburajadulu kayaknya kalau karena muak sama pemerintah gausah disebut juga deh pada tahu lah iya,negatif,86.83,negatif,X
yang di publish mah happy nya ajaa emang ada yang tauu pas keluargaku kepuruk gimnaa yang masku tbtb harusss #kaburajadulu hahahaha demiii semuanya stabil?,yang di publish mah bahagia nya ajaa emang ada yang tauu pas keluargaku kepuruk gimnaa yang masku tbtb harusss kaburajadulu hahahaha demiii semuanya stabil,positif,87.46,positif,X
Baru relate sama hastag ini #kaburajadulu Buat apa tanah air beta kalau lu kerja aja ga dihargai dengan layak,baru relate sama hastag ini kaburajadulu buat apa tanah air beta kalau kamu kerja saja ga dihargai dengan layak,negatif,99.72,negatif,X
@reynaa KARUYAAA SEMANGAT #Kaburajadulu semoga lancar dipermudah semuanyaaa wml juga hihiw,karuyaaa semangat kaburajadulu semoga lancar dipermudah semuanyaaa wml juga hihiw,positif,95.44,positif,X
@kasanaruphrase @HOKUTOBOO36 Takut banget di reply beneran terus ngajak kawin #KaburAjaDulu,takut banget di reply beneran terus ngajak kawin kaburajadulu,negatif,99.79,negatif,X
@rihakri gas lah udh muak dgn negara ini #KaburAjaDulu,gas lah udh muak dengan negara ini kaburajadulu,negatif,99.81,negatif,X
@hrdbacot Dari tahun lalu udah pengen #kaburajadulu Tapi setelah coba jalan-jalan ke LN tahun ini jadi memutuskan ga jadi. Diri ini tersadar bahwa yang dibenci itu bukan negaranya tapi sistem yang rusak :(,dari tahun lalu sudah pengen kaburajadulu tapi setelah coba jalan jalan ke ln tahun ini jadi memutuskan ga jadi diri ini tersadar bahwa yang dibenci itu bukan negaranya tapi sistem yang rusak,negatif,99.76,negatif,X
Dulu mau #kaburajadulu jaman miskin 2018 masi mahasiswa penghasilan ngajar private anak SD ya around 2 - 4 juta Dulu pengen bgt WHV Aussie HAHA Alleb PERSONALLY ketika lg pengen #kaburajadulu tandanya w lg di lowest low point alias merasa tidak competitive di Indonesia,dulu mau kaburajadulu jaman miskin masi mahasiswa penghasilan ngajar private anak sd iya around juta dulu pengen banget whv aussie tertawa alleb personally ketika lagi pengen kaburajadulu tandanya w lagi di lowest kalau point alias merasa tidak competitive di indonesia,negatif,93.78,negatif,X
@hwangppil Emang bener #kaburajadulu WKWK kmrn tu ya sbnrnya w mau apply enha TP TELAT SEHARI TP JUGA W UDH BAYAR WEVERSE WKWKWKWKKW,emang benar kaburajadulu wkwk kemarin tu iya sbnrnya w mau apply enha tapi terlambat sehari tapi juga w udh bayar weverse wkwkwkwkkw,negatif,86.04,negatif,X
Yang mau #kaburajadulu yuk barengan..,yang mau kaburajadulu yuk barengan,netral,97.51,netral,X
@BivitriS @barengwarga Udah kga ketolong ini negara. Dikritik digaslek antek asing turun aksi ditangkep tangkepin bnyak yg luka2 dll ngubah dari dalem ga mungkin yg ada malah ... Jalan satu2nya bisa nikmatin hidup dengan tenang memang cuman #KaburAjaDulu.,sudah kga ketolong ini negara dikritik digaslek antek asing turun aksi ditangkep tangkepin bnyak yang luka dan lain-lain ngubah dari dalem ga mungkin yang ada bahkan jalan satunya bisa nikmatin hidup dengan tenang memang cuman kaburajadulu,negatif,99.35,negatif,X
@hrdbacot Mungkin penghasilan &gt;35-100 juta di Indonesia itu bisa didapatkan dalam jangka waktu satu tahun; bahkan lebih. Sedangkan yang #KaburAjaDulu suka percepatan.,mungkin penghasilan begitu juta di indonesia itu bisa didapatkan dalam jangka waktu satu tahun bahkan lebih sedangkan yang kaburajadulu suka percepatan,positif,96.1,positif,X
@hrdbacot Baru denger pidato Trump. Takut ah #kaburajadulu. Udah capek2 nabung dan investasi diluar negeri tiba2 rumah gw dibakar penduduk radikal yg rasis. Plus minus lebih enak tinggal di Indonesia. Dinegara sendiri.,baru denger pidato trump takut ah kaburajadulu sudah capek nabung dan investasi diluar negeri tiba rumah saya dibakar penduduk radikal yang rasis plus minus lebih enak tinggal di indonesia dinegara sendiri,negatif,99.72,negatif,X
@chocoabitter Amakura Shina #kaburajadulu tapi ga kabur-kabur,amakura shina kaburajadulu tapi ga kabur kabur,negatif,93.36,negatif,X
@kegblgnunfaedh #kaburajadulu ke jepang Australia malaysia Singapura dll indonesia lagi sulit,kaburajadulu ke jepang australia malaysia singapura dan lain-lain indonesia lagi sulit,negatif,99.04,negatif,X
petty shit ass country dari kerajaan ke rakyat sama bodoh now termakan action sendiri berapa ramai #KaburAjaDulu ke Malaysia jijik,petty shit ass country dari kerajaan ke rakyat sama bodoh now termakan action sendiri berapa ramai kaburajadulu ke malaysia jijik,negatif,99.63,negatif,X
tapi gpp memang lebih baik kabur aja dulu bismillah kita bsa #kaburajadulu. Jangan lupa belajar bahasa jepang/korea/mandarin!,tapi tidak apa-apa memang lebih baik kabur saja dulu bismillah kita bisa kaburajadulu jangan lupa belajar bahasa jepang korea mandarin,negatif,96.07,negatif,X
bisa ga lulus aja langsung ini kuliah trs #kaburajadulu ke ln trs kerja n menikahidup bahagia #maleskuliah,bisa ga lulus saja langsung ini kuliah terus kaburajadulu ke ln terus kerja dan menikahidup bahagia maleskuliah,negatif,99.56,negatif,X
Wah ternyata banyak yang #KaburAjaDulu hehe...,wah ternyata banyak yang kaburajadulu he,negatif,99.25,negatif,X
mmh ajak aku #kaburajadulu dan hidup di jeju plis https://t.co/pR1wNKLrVW,mmh ajak aku kaburajadulu dan hidup di jeju plis,negatif,87.52,negatif,X
@tebekkkk 4 orang yg berhasil #kaburajadulu,orang yang berhasil kaburajadulu,negatif,75.07,negatif,X
4 orang berhasil #kaburajadulu,orang berhasil kaburajadulu,negatif,89.2,negatif,X
 miskin sehingga banyak warganya berbondong-bondong pindah ke barat #kaburajadulu pokoknya. Berasa familiar ya? Tapi akhirnya cape juga kan mau makmur aja kudu main kucing-kucingan sama pemerintah. Akhirnya revolusi dan itu Mauer (tembok) Berlin segede gaban diruntuhin warga ,miskin sehingga banyak warganya berbondong bondong pindah ke barat kaburajadulu pokoknya berasa familiar iya tapi akhirnya capek juga kan mau makmur saja harus main kucing kucingan sama pemerintah akhirnya revolusi dan itu mauer tembok berlin segede gaban diruntuhin warga,negatif,99.65,negatif,X
Keknya kalo #kaburajadulu ga perlu jauh jauh negara tetangga dah mulai maju dan memang sejahterakan rakyat Tapi INDON masih tetep primitif,kayaknya kalau kaburajadulu ga perlu jauh jauh negara tetangga deh mulai maju dan memang sejahterakan rakyat tapi indon masih tetep primitif,negatif,99.29,negatif,X
males banget liat harganya. trus ngga bisa order. sialan.. #kaburajadulu https://t.co/TR2rVoS23w,males banget lihat harganya trus tidak bisa order sialan kaburajadulu,negatif,99.84,negatif,X
@sungtonthinker #kaburajadulu bersama syomton ,kaburajadulu bersama syomton,netral,93.59,netral,X
Buat yang belum bisa #kaburajadulu ke tempat yg lebih baik dgn sumber pendapatan yg lebih tinggi aku doakan semoga kita semua bisa punya pekerjaan dengan gaji setara UMR Swiss atau setara UMR Singapore juga gapapa deh. Lancarkanlah niat baik kami ya Allah. Amiinn.,buat yang belum bisa kaburajadulu ke tempat yang lebih baik dengan sumber pendapatan yang lebih tinggi aku doakan semoga kita semua bisa punya pekerjaan dengan gaji setara umr swiss atau setara umr singapore juga gapapa deh lancarkanlah niat baik kami iya allah amiinn,positif,97.63,positif,X
jir padahal baru kemarin w ambis bgt buat #KaburAjaDulu di 2025 ,anjing padahal baru kemarin w ambis banget buat kaburajadulu di,negatif,99.78,negatif,X
Alasan tambahan kenapa aku harus #KaburAjaDulu,alasan tambahan kenapa aku harus kaburajadulu,netral,92.91,netral,X
@veshmet ups. apa #KaburAjaDulu ya?,ups apa kaburajadulu iya,negatif,99.71,negatif,X
Resources lengkap belajar bahasa JEPANG ebook . update terbaru DOWNLOAD GRATIS https://t.co/h8x0Snj8TY #zonajajan #KaburAjaDulu,resources lengkap belajar bahasa jepang ebook update terbaru download gratis zonajajan kaburajadulu,netral,91.13,netral,X
