full_text,clean_text,sentiment,confidence,label_final
Banyak banget yang tanya Kak ngurusin berkas Ausbildung tuh ribet ya? Jujur prosesnya emang agak bikin clueless kalau ngurusinnya sendirian Tapi sini deh yuk kita bahas! #workabroad #kerjaluarnegeri #kaburajadulu #kerjajerman,banyak banget yang tanya kak ngurusin berkas ausbildung tuh ribet iya jujur prosesnya emang agak bikin clueless kalau ngurusinnya sendirian tapi sini deh yuk kita bahas workabroad kerjaluarnegeri kaburajadulu kerjajerman,negatif,38.8,negatif
"opini ku,kita perbaiki Indonesia jangan ninggalin Indonesia hanya karna negara kita lagi menghadapi masalah,Jangan bandingin negara indo lain kita perbaiki sama² lebih bijak memilih pemerintah",opini ku kita perbaiki indonesia jangan ninggalin indonesia hanya karena negara kita lagi menghadapi masalah jangan bandingin negara indo lain kita perbaiki sama² lebih bijak memilih pemerintah,positif,38.88,positif
ni ada studytwt tpi khusus buat fokus ngincer S2 di luar negeri kah? I seriously considering S2 abroad buat #kaburajadulu,ini ada studytwt tapi khusus buat fokus ngincer s di luar negeri kah i seriously considering s abroad buat kaburajadulu,netral,38.92,netral
@worksfess Mending freelance luar negeri aja nder temenku ada dan kerja di rumah lg.,lebih baik freelance luar negeri saja nder temenku ada dan kerja di rumah lagi,netral,38.93,netral
#KaburAjaDulu pernah ramai beberapa waktu lalu aku pun pernah mencobanya berharap hidup jadi lebih baik. Tapi sebenarnya apakah kabur adalah solusi yang tepat? Baca artikel Edwin selengkapnya di: https://t.co/UahGFOeLmL,kaburajadulu pernah ramai beberapa waktu lalu aku pun pernah mencobanya berharap hidup jadi lebih baik tapi sebenarnya apakah kabur adalah solusi yang tepat baca artikel edwin selengkapnya di,positif,38.96,positif
kata gua mba kun mas poci sama mbah wewe gombel mending #KaburAjaDulu deh,kata saya mbak kun mas poci sama mbah wewe gombel lebih baik kaburajadulu deh,negatif,39.08,negatif
ini ni👍,ini ini,netral,39.11,netral
Padahal gampang kok menjadikan Indonesia sejahtera. gratiskan mereka yang ingin kerja ke luar Negeri. TKI &amp; TKW yang pulang dapat diskon pajak. Gastrodiplomacy. STOP MBG Dorong PEMDA untuk perbaiki jalan &amp; jembatan. promosikan wisata lokal. tambah beasiswa,padahal gampang kok menjadikan indonesia sejahtera gratiskan mereka yang ingin kerja ke luar negeri tki amp tkw yang pulang dapat diskon pajak gastrodiplomacy stop mbg dorong pemerintah daerah untuk perbaiki jalan amp jembatan promosikan wisata lokal tambah beasiswa,positif,39.34,positif
"kerja di luar negeri itu bukan soal gaji lebih tinggi pengeluaran lebih tinggi, tp liat gimana fasilitas yang pemerintah sana berikan untuk warganya. dari sektor pendidikan, faskes, transum dll",kerja di luar negeri itu bukan soal gaji lebih tinggi pengeluaran lebih tinggi tapi lihat bagaimana fasilitas yang pemerintah sana berikan untuk warganya dari sektor pendidikan faskes transum dan lain-lain,netral,39.39,netral
Long tweet: Aksesibilitas Web modal #kaburajadulu Okay satu hal yang berbeda dengan ngikutin tutorial React buatan luar dengan tutorial dari dalam negeri adalah: di setiap fase dikasih tau soal aksesibilitas dari komponen yang bersangkutan gimana nambah aria dan bahkan https://t.co/sSV0yPXfd3,long tweet aksesibilitas web modal kaburajadulu okay satu hal yang berbeda dengan ngikutin tutorial react buatan luar dengan tutorial dari dalam negeri adalah di setiap fase dikasih tahu soal aksesibilitas dari komponen yang bersangkutan bagaimana nambah aria dan bahkan,positif,39.54,positif
bukan trem tapi kemauan diri sendiri,bukan trem tapi kemauan diri sendiri,netral,39.64,netral
Sebenernya umr aja cukup bng istri sama buat beli rumah yg menting tau takaran gaya kita dan circle kita bng cmiiw,sebenernya umr saja cukup bng istri sama buat beli rumah yang menting tahu takaran gaya kita dan circle kita bng correct me if i'm wrong,positif,39.7,positif
loh #KaburAjaDulu kan inspirasinya dari lu sendiri pas kabur ke Yordania https://t.co/D9gbLRnsYM,loh kaburajadulu kan inspirasinya dari kamu sendiri pas kabur ke yordania,positif,39.76,positif
@tanyarlfes Kalo ada kesempatan ke luar negeri (should be trusted ya please hati-hati) mending #kaburajadulu nder,kalau ada kesempatan ke luar negeri should be trusted iya please hati hati lebih baik kaburajadulu nder,netral,39.8,netral
"ikut, gua mau kek negara Amerika",ikut saya mau seperti negara amerika,negatif,40.09,negatif
Bissmillahirrahmanirrahim! akhir bulan COE turun sekalian visa. Gasss jepanggg😇 #kaburajadulu,bissmillahirrahmanirrahim akhir bulan coe turun sekalian visa gasss jepanggg kaburajadulu,positif,40.23,positif
"Kak semua orang bayar pajak, how to be respect, thats it. Attitude itu modal paling awal apalagi kalau kamu mau pergi ke luar negri",kak semua orang bayar pajak how to be respect thats it attitude itu modal paling awal apalagi kalau kamu mau pergi ke luar negri,negatif,40.28,negatif
Lah Bang samaa. Ya Allah izinkan hamba buat #kaburajadulu,lah bang samaa iya allah izinkan hamba buat kaburajadulu,negatif,40.44,negatif
ngasih kesempatan buat sampah bisa naik keatas tanpa persaingan,memberikan kesempatan buat sampah bisa naik keatas tanpa persaingan,netral,40.44,netral
@ThatSun510 @truthspace_ @hanan052020 @wannafigh yg belum bersih itu biasanya yang baru2 #kaburajadulu dan yang mau dan bisa membaur ama lokal.,yang belum bersih itu biasanya yang baru kaburajadulu dan yang mau dan bisa membaur sama lokal,negatif,40.48,negatif
gak punya duit tapi pingin kaburajadulu ayo belajar sampe bisa dapetin beasiswa dari luar 🙂,gak punya duit tapi pingin kaburajadulu ayo belajar sampai bisa dapetin beasiswa dari luar,positif,40.52,positif
iya bner termasuk sy ..,iya bner termasuk saya,netral,40.52,netral
"setalah mendengar berita itu, semangat ku untuk mengejar cita² ku menjadi semakin tinggi.",setalah mendengar berita itu semangat ku untuk mengejar cita² ku menjadi semakin tinggi,netral,40.6,netral
Udah kelar tinggal nyari kerja ke luar negeri untuk mengurangi pengangguran di Indonesia https://t.co/eXzVdH1jZQ,sudah kelar tinggal mencari kerja ke luar negeri untuk mengurangi pengangguran di indonesia,netral,40.81,netral
gwa juga pengin tapi gwa lidah jawa,gwa juga pengin tapi gwa lidah jawa,negatif,40.91,negatif
"anda selamat bang, disini 30th dh brasa jompo. mna serba pke duit mlu 😭😭😭",anda selamat bang disini th dh brasa jompo mna serba pke duit mlu,negatif,41.15,negatif
So perkenalkan ini teman lama saya. Pernah viral dan dimuat di majalah Chip sebagai freelancer 50 jt . Dulu ketemu ama beliau di Sabuga. Dulunya WebDev (dan mungkin masih) tapi setelah #KaburAjaDulu ke Talinn🇪🇪 ternyata malah ngerjain aplikasi dan bikin device untuk musik.,so perkenalkan ini teman lama saya pernah viral dan dimuat di majalah chip sebagai freelancer jt dulu ketemu sama beliau di sabuga dulunya webdev dan mungkin masih tapi setelah kaburajadulu ke talinn ternyata bahkan ngerjain aplikasi dan bikin device untuk musik,netral,41.27,netral
@Franken_blues #kaburajadulu yg penting umroh :),kaburajadulu yang penting umroh,positif,41.34,positif
"gaji umr, tapi skillnya harus bisa mengendalikan air,api,angin,dan tanah🥲",gaji umr tapi skillnya harus bisa mengendalikan air api angin dan tanah,positif,41.38,positif
"#kaburajadulu❌
#wajibkabur✔️",kaburajadulu wajibkabur,negatif,41.46,negatif
"Wkwkwk bener banget, klo bs cabut ya mending cabut dr Indo",wkwkwk benar banget kalau bisa pergi iya lebih baik pergi dr indo,negatif,41.47,negatif
@NanangIndra11 @DokterTifa @prabowo Yang bikin 100 pabrik investasi luar negeri itu presiden dan wapres.. 100 pabrik itu bakal ada tenaga kerja kang ojek warung nasi sekitar pabrik dan semua sektor ekonomi lainnya Anggaran MBG 300T bisa buat 100 pabrik bang,yang bikin pabrik investasi luar negeri itu presiden dan wapres pabrik itu bakal ada tenaga kerja kang ojek warung nasi sekitar pabrik dan semua sektor ekonomi lainnya anggaran mbg t bisa buat pabrik bang,positif,41.56,positif
bang ikut ndong😭😭😭,bang ikut ndong,netral,41.7,netral
@hansdavidian alumnus pertama #KaburAjaDulu,alumnus pertama kaburajadulu,netral,41.72,netral
WFHnya keluar negeri ya pak #KaburAjaDulu,wfhnya keluar negeri iya pak kaburajadulu,negatif,41.77,negatif
mending fokusin buat kerja ke luar negeri atau kuliah di ut sambil kerja,lebih baik fokusin buat kerja ke luar negeri atau kuliah di ut sambil kerja,netral,41.84,netral
yok penuhin luar negri dengan semua orang indo🗿🗿,yok penuhin luar negri dengan semua orang indo,negatif,41.85,negatif
inget yang punya orang tua woii,inget yang punya orang tua woii,positif,41.9,positif
@pandanlafte Skrg spesifikasi lamaran kerjaan makin makin mana ga bisa dipake langsung kalo mau kerja di luar negeri kayaknya lebih gampang jadi anggota lembaga legislatif yak drpd kerja sesuai jurusan ,skrg spesifikasi lamaran kerjaan makin makin mana ga bisa dipake langsung kalau mau kerja di luar negeri kayaknya lebih gampang jadi anggota lembaga legislatif yak drpd kerja sesuai jurusan,negatif,41.94,negatif
"Mintanya pengalaman, kalo gitu semua lah yg freshgraduate mau dapat pengalaman dimana 😭 blm ada umur dll juga",mintanya pengalaman kalau gitu semua lah yang freshgraduate mau dapat pengalaman dimana belum ada umur dan lain-lain juga,positif,41.94,positif
@worksfess Nyari kerja di Luar negeri ga semudah itu bahasa bisa dipelajari,mencari kerja di luar negeri ga semudah itu bahasa bisa dipelajari,negatif,41.95,negatif
Cone toll🗿🗿,cone toll,netral,41.96,netral
ngerti bahasa thailand gak?,mengerti bahasa thailand gak,positif,41.98,positif
sama lgi bg,sama lagi abang,positif,42.05,positif
100% bahkan puluhan persen klw kalian ada kesempatan mending kerja di luar negri untuk merubah nasib & membahagiakan orang tua.,bahkan puluhan persen kalau kalian ada kesempatan lebih baik kerja di luar negri untuk merubah nasib membahagiakan orang tua,negatif,42.07,negatif
"dan lu hrus inget jga , lu kalo udh ke amrik lu ga bakal bia balik ke indo sblum ad greend card, karna kalo lu blom ad lu memaksa ke indo bisa mines nya lu ga bisa balik ke amrik lg, grndcrd lm dpt ny",dan kamu harus inget juga kamu kalau udh ke amrik kamu ga bakal bia balik ke indo sblum ada greend card karena kalau kamu blom ada kamu memaksa ke indo bisa mines nya kamu ga bisa balik ke amrik lagi grndcrd lm dapat ny,positif,42.09,positif
"ya loe pergi sana,kalau loe mampu,",iya kamu pergi sana kalau kamu mampu,positif,42.18,positif
"tapi perlu digaris bawahi bahwa kerja di luar belum tentu lebih baik daripada di indo kalau hanya dilihat masalah gaji aja, soalnya papaku pernah kerja di US kurleb 10 thn di kapal pesiar",tapi perlu digaris bawahi bahwa kerja di luar belum tentu lebih baik daripada di indo kalau hanya dilihat masalah gaji saja soalnya papaku pernah kerja di us kurleb tahun di kapal pesiar,negatif,42.3,negatif
"Nasionalisme soal hati, bukan soal domisili.",nasionalisme soal hati bukan soal domisili,netral,42.33,netral
ahahah fr,ahahah fr,positif,42.33,positif
hati2 setiap masalah di negara manapun itu sama,hati setiap masalah di negara manapun itu sama,positif,42.33,positif
@KucengTerbanggg #kaburajadulu masih bisa gasih?,kaburajadulu masih bisa gasih,negatif,42.41,negatif
kalau punya akses pengen keluar negri,kalau punya akses pengen keluar negri,netral,42.42,netral
mau bgt sekeluarga tapi... 💵💵 nya belum kekumpul.. ☺,mau banget sekeluarga tapi nya belum kekumpul,positif,42.44,positif
@CNNIndonesia Pemerintah bilang bangun IKN ga pake APBN aja saya percaya.,pemerintah bilang bangun ikn ga pakai apbn saja saya percaya,netral,42.46,netral
@Serendipityflt_ citra penculik yg jadi pelopor #KaburAjaDulu ,citra penculik yang jadi pelopor kaburajadulu,positif,42.5,positif
selama nganggur tingkatin skill ka gpp sembari nunggu panggilan kerja,selama tidak punya pekerjaan tingkatin skill kakak tidak apa-apa sembari nunggu panggilan kerja,netral,42.51,netral
nah itu,nah itu,netral,42.56,netral
@ceoconan bentar doang tp setidaknya simulasi #kaburajadulu yakk,sebentar doang tapi setidaknya simulasi kaburajadulu yakk,netral,42.56,netral
gajinya pun 800rb paling tinggi 1jt an😂,gajinya pun rb paling tinggi jt an,negatif,42.58,negatif
Ini peluang utk #kaburajadulu,ini peluang untuk kaburajadulu,netral,42.59,netral
"Tergantung daerah juga pribadi
kalo emang hemat ngga aneh² kecil
pengalaman sendiri pngeluaran buat mkan 2jt+ jln²,dll sekitar 2jtan
dg gaji bersihku 16-18 msih bisa nabung 12-14
cuma ngga semua gini",tergantung daerah juga pribadi kalau emang hemat tidak aneh² kecil pengalaman sendiri pngeluaran buat mkan jt jln² dan lain-lain sekitar jtan dg gaji bersihku msih bisa nabung cuma tidak semua gini,positif,42.61,positif
akukalo ga terhalang anak dan suami kayanya akan aku usahakan kabur ke jepang,akukalo ga terhalang anak dan suami kayaknya akan aku usahakan kabur ke jepang,negatif,42.62,negatif
jadi kepikiran apakah emang kelas menengah indonesia baik filmmakernya maupun penontonnya senengnya either bikin/disajikan mimpi² khayalan² aspirasional #kaburajadulu dari catatan si boy hingga sore trus abis itu feeling pangs of middle class guilt decide to make/watch poverty..,jadi terpikirkan apakah emang kelas menengah indonesia baik filmmakernya maupun penontonnya senengnya either bikin disajikan mimpi² khayalan² aspirasional kaburajadulu dari catatan si boy hingga sore trus habis itu feeling pangs of middle class guilt decide to make watch poverty,positif,42.66,positif
Aku yo pengen pindah keluar negri... 😂🥰,aku iya pengen pindah keluar negri,positif,42.68,positif
@txtdrimedia Nyampur mint sevuah langkah kecil biar bisa #kaburajadulu https://t.co/8JdAarid3I,nyampur mint sevuah langkah kecil biar bisa kaburajadulu,netral,42.72,netral
"aku masih esdee, bahasa inggris udh aga lancarr, kalo chanel youtube yang ngajarin bahasa asing kira² apa yang bagus ya?? 😔",aku masih esdee bahasa inggris udh aga lancarr kalau chanel youtube yang ngajarin bahasa asing kira² apa yang bagus iya,positif,42.85,positif
aku sih yess bang pengen bgt ke luar ijin ke ortu gmn yaaak,aku sih yess bang pengen banget ke luar ijin ke orang tua gmn yaaak,positif,42.85,positif
yaudah si😹,ya sudah si,negatif,42.97,negatif
@tanyakanrl kalo travelling ke kota sebelah kotamu ok aja kalo udh keluar province ampe luar negeri mending km balik kerja lagi aja,kalau travelling ke kota sebelah kotamu ok saja kalau udh keluar province ampe luar negeri lebih baik kamu balik kerja lagi saja,negatif,42.98,negatif
@autumnaddict3 pengen ramein #KaburAjaDulu untuk kesekian kalinya,pengen ramein kaburajadulu untuk kesekian kalinya,positif,43.06,positif
mnrt aku semua pejabat indonesia di masa depan harus punya latar belakang debaters biar argumen sama statement mereka ga kosong 😭😭,mnrt aku semua pejabat indonesia di masa depan harus punya latar belakang debaters biar argumen sama statement mereka ga kosong,positif,43.08,positif
oke setelah lulus #kaburajadulu,oke setelah lulus kaburajadulu,negatif,43.08,negatif
last option,last option,netral,43.19,netral
kami di didik dengan adat bang..dari kecil☺️,kami di didik dengan adat bang dari kecil,negatif,43.26,negatif
REALISTIS LEBIH PENTING DARI PDA NASIONALIS!,realistis lebih penting dari pda nasionalis,negatif,43.29,negatif
@rizifahr To be rich. Siupaya #kaburajadulu,to be rich siupaya kaburajadulu,positif,43.3,positif
cuma damkar yg berguna,cuma damkar yang berguna,positif,43.31,positif
Halo #SobatSabar! Jangan mudah tergiur janji manis Penyalur kerja non-prosedural = Rawan TPPO! Ingat ya kerja ke luar negeri itu boleh tapi harus lewat jalur AMAN &amp; RESMI Demi keamanan dan masa depanmu yang lebih baik https://t.co/c2Gh5Dv62V,halo sobatsabar jangan mudah tergiur janji manis penyalur kerja non prosedural rawan tppo ingat iya kerja ke luar negeri itu boleh tapi harus lewat jalur aman amp resmi demi keamanan dan masa depanmu yang lebih baik,positif,43.33,positif
@seoyeohn Gak tau Kak gua orang Konoha. Info cara #KaburAjaDulu ke Amerika biar bisa nulis engagement dengan baik dan benar?,gak tahu kak saya orang konoha informasi cara kaburajadulu ke amerika biar bisa nulis engagement dengan baik dan benar,netral,43.35,netral
"padahal dulu aku mimpinya tuh lahir di cina,,,, ehh malah di pelosok tanahnya mulyono 🗿",padahal dulu aku mimpinya tuh lahir di cina ehh bahkan di pelosok tanahnya mulyono,netral,43.38,netral
OHH NOOOO!?! mama udah datang dan aku lum mandi SKSKSKSSO #helpme #semogasehat #kaburajadulu ‍️‍️‍️‍️,ohh noooo mama sudah datang dan aku belum mandi sksksksso helpme semogasehat kaburajadulu,positif,43.38,positif
Kayaknya emang harus #KaburAjaDulu baru bisa bikin mie ayam sendiri.,kayaknya emang harus kaburajadulu baru bisa bikin mie ayam sendiri,negatif,43.43,negatif
"aku janji ke diri sndri, lulus smk cari uang yg bnyk biar bisa #kaburajadulu",aku janji ke diri sndri lulus smk cari uang yang banyak biar bisa kaburajadulu,negatif,43.44,negatif
@as3pram Nah ini kondisinya nggak terpaksa sih cuma butuh getaway bentar aja kalo KUL kayaknya sekalian #kaburajadulu,nah ini kondisinya tidak terpaksa sih cuma butuh getaway sebentar saja kalau kul kayaknya sekalian kaburajadulu,positif,43.45,positif
"aku juga nyaranin anakku dua² nya kerja di LN
pendidikan & tenaga lebih dihargai di LN dari pada dinegeri sendiri😏",aku juga nyaranin anakku dua² nya kerja di ln pendidikan tenaga lebih dihargai di ln dari pada dinegeri sendiri,positif,43.57,positif
@baseconvo Congrats nder selanjutnya apply terus cvmu ke luar negeri soalnya in this economy lagi susah nyari kerja di negara yg wapresnya dibantu oleh paman.,congrats nder selanjutnya apply terus cvmu ke luar negeri soalnya in this economy lagi susah mencari kerja di negara yang wapresnya dibantu oleh paman,positif,43.64,positif
bonceng bang sekalian 🗿,bonceng bang sekalian,negatif,43.66,negatif
Pengen buat trend ini juga tpi kita gabisa brooo😌🙏🏻 jdi lo aja dehh,pengen buat trend ini juga tapi kita gabisa brooo jadi kamu saja dehh,negatif,43.66,negatif
apa hubungannga ke luar negri sama nasionalisme.,apa hubungannga ke luar negri sama nasionalisme,negatif,43.67,negatif
belajar memahami kalimat. biar kalau merantau gak dibego,belajar memahami kalimat biar kalau merantau gak dibego,negatif,43.7,negatif
"tinggi badan jg kadang:""",tinggi badan juga kadang,positif,43.71,positif
kapan ya bisa ikut trend #kaburajadulu hmnm,kapan iya bisa ikut trend kaburajadulu hmnm,netral,43.75,netral
That's A lot...but Ameeen 10 jt Monthly spend ( termasuk nabung dan buat lifestyle KPop udah termasuk) 2 jt Asuransi kesehatan (ga percaya sama pemerintah) Sisanya...Persiapan pensiun (renovasi rumah cicil kendaraan) Nabung Invest ..,that s a lot but ameeen jt monthly spend termasuk nabung dan buat lifestyle kpop sudah termasuk jt asuransi kesehatan ga percaya sama pemerintah sisanya persiapan pensiun renovasi rumah cicil kendaraan nabung invest,netral,43.76,netral
Weyyy lykyou lahir pas bapaknya kerja luar negeri bjir wkwkwk,weyyy lykyou lahir pas bapaknya kerja luar negeri bjir wkwkwk,positif,43.81,positif
Kok orang2 pada bisa liburan ke luar negeri sih... pada kerja apa kok duitnya bisa banyak2 bgt?? Pls tutor aku mau juga...,kok orang pada bisa liburan ke luar negeri sih pada kerja apa kok duitnya bisa banyak banget pls tutor aku mau juga,positif,43.83,positif
@worksfess kann banyak yang mau kerja di luar negeri,kann banyak yang mau kerja di luar negeri,netral,43.87,netral
aku pun kalo di bolehin udah dari dulu kerja ke luar negri,aku pun kalau di bolehin sudah dari dulu kerja ke luar negri,netral,43.89,netral
"lah yg bikin VT kan dukung Pragip waktu, yaudah nikmati tuh pilihannya. gak usah fomo² bikin VT gtu😅",lah yang bikin vt kan dukung pragip waktu ya sudah nikmati tuh pilihannya gak perlu fomo² bikin vt gtu,netral,43.91,netral
Kadang dan kerapkali ada anggota yg minta dibuatkan acara apalah di luar negeri sebagai dasar untuk kunjungan kerja . 5 hari kunker acara buatannya cuma 2 jam. Sisanya? Yaaaaagitu,kadang dan kerapkali ada anggota yang minta dibuatkan acara apalah di luar negeri sebagai dasar untuk kunjungan kerja hari kunker acara buatannya cuma jam sisanya yaaaaagitu,negatif,44.0,negatif
Gua tandain hari ini jadi api semangat. Ntar kalo udah di jepang gua komen lagi🤟🏻🇯🇵,saya tandain hari ini jadi api semangat nanti kalau sudah di jepang saya komen lagi,negatif,44.01,negatif
"loker es teh jumbo aja harus good looking dan umur di bawah 30th 😅🤣 kocak emg pdhl cm jualan es teh, kerja lebih dr 8jam gaji d bawah umr 🤣",loker es kakak perempuan jumbo saja harus good looking dan umur di bawah th kocak emg pdhl cm jualan es kakak perempuan kerja lebih dr jam gaji di bawah umr,netral,44.02,netral
"MAUUUU, TUNGGU SELESAI KULIAH BARU #KABURAJADULU",mauuuu tunggu selesai kuliah baru kaburajadulu,negatif,44.02,negatif
Masih panjang perjalanan gua buat #KaburAjaDulu,masih panjang perjalanan saya buat kaburajadulu,positif,44.1,positif
@cutieeinjunn boleh dong bebebb pasti kamu adalah salah satu org yg aku ajak buat #kaburajadulu versi ke negara khusus renjunlopersss,boleh dong bebebb pasti kamu adalah salah satu org yang aku ajak buat kaburajadulu versi ke negara khusus renjunlopersss,netral,44.15,netral
bjirr😂,bjirr,positif,44.22,positif
Gua tuh pengen idealis (((idealis))) mau ke luar negeri dan apply visanya pake uang hasil kerja gua. Tapi masih kurang beberapa lagi keknya in the end gua minta bantuan kakak gua HAHAHAH,saya tuh pengen idealis idealis mau ke luar negeri dan apply visanya pakai uang hasil kerja saya tapi masih kurang beberapa lagi kayaknya in the end saya minta bantuan kakak saya hahahah,positif,44.23,positif
gua nungguin Abang gua kerja kejepang 😂 nanti kalau bagus kerjaan nya bagian restauran gua coba belajar nanti nya😂,saya nungguin abang saya kerja kejepang nanti kalau bagus kerjaan nya bagian restauran saya coba belajar nanti nya,netral,44.28,netral
"gw nabung jg pengen keluar negeri...
tp umroh😭😭",saya nabung juga pengen keluar negeri tapi umroh,negatif,44.33,negatif
gw lulus gw usahain bikin trend ni😔,saya lulus saya usahain bikin trend ini,negatif,44.35,negatif
mari kita uasahakan #kaburajadulu,mari kita uasahakan kaburajadulu,positif,44.37,positif
untung abangnya GK lahir di korea Utara🗿,untung abangnya gk lahir di korea utara,positif,44.38,positif
nah ini,nah ini,netral,44.44,netral
semoga pola pikir negara berubah ya,semoga pola pikir negara berubah iya,positif,44.46,positif
sng ws 11 thn Pye Kii mas 😂,sng ws tahun pye kii mas,positif,44.55,positif
@odebukanpuisi Saatnya #KaburAjaDulu lagi de,saatnya kaburajadulu lagi adik,negatif,44.58,negatif
@tanyarlfes Apa aja bagus tp kerja di luar negeri kl di indo penting pny ordall,apa saja bagus tapi kerja di luar negeri kalau di indo penting pny ordall,positif,44.6,positif
H.55 PKM #KaburAjaDulu,h pkm kaburajadulu,netral,44.63,netral
"bgung mau mulainya bang
btuh tutor bang🙏",bgung mau mulainya bang btuh tutor bang,netral,44.68,netral
@tahuoncom_ HAII semoga kamu bisa dapetin ptln impian dan #kaburajadulu YAH! btw dipanggilnya siapa....,haii semoga kamu bisa dapetin ptln impian dan kaburajadulu yah ngomong-ngomong dipanggilnya siapa,netral,44.7,netral
generasi emas ngambang di kali,generasi emas ngambang di kali,netral,44.7,netral
real di lpngan 😂,real di lpngan,netral,44.71,netral
#kaburajadulu ampe dibahas khusus sama CNA Malah brain drainnya yang lebih ditekenin https://t.co/zaIuXOWg5W,kaburajadulu ampe dibahas khusus sama cna bahkan brain drainnya yang lebih ditekenin,negatif,44.73,negatif
"29 Pekerjaan Paling Dicari di Singapura, Bisa #kaburajadulu 
https://t.co/cY8rPP13a1",pekerjaan paling dicari di singapura bisa kaburajadulu,negatif,44.96,negatif
kalo punya duit mah langsung pergi keluar negeri ke Korea Jepang cina Filipina dan Mekah semuanya dahh 🗿✌,kalau punya duit mah langsung pergi keluar negeri ke korea jepang cina filipina dan mekah semuanya dahh,positif,44.96,positif
ngerti sih setelah tinggal di luar sendirian (belajar + kerja) gua juga jadi paham tinggal di luar negeri might not be for everyone. apalagi di jepang yg orang²nya kebanyakan lebih tertutup.. LDR jg ga semuanya bisa bikin keinget thread couple yg beberapa kali LDR jp id itu - s,mengerti sih setelah tinggal di luar sendirian belajar kerja saya juga jadi paham tinggal di luar negeri might not be for everyone apalagi di jepang yang orang²nya kebanyakan lebih tertutup ldr juga ga semuanya bisa bikin keinget thread couple yang beberapa kali ldr jp id itu s,negatif,44.96,negatif
@salam4jari Bahkan utk berwisata pun kita harus #kaburajadulu,bahkan untuk berwisata pun kita harus kaburajadulu,positif,45.03,positif
Rill ini Indonesia,rill ini indonesia,netral,45.06,netral
"wait"" santai🤣",wait santai,negatif,45.07,negatif
lulus SMP dulu cil,lulus smp dulu cil,netral,45.08,netral
