created_at,full_text,id_str,platform,clean_text,topic_id_v2,sentiment,confidence
Sun Sep 28 20:30:35 +0000 2025,@dick76083 Org singapur udah ngomong kayak gitu apa kaga malu ya org indo yg mau atau udah #kaburajadulu ? ,1972398554468749515,X,org singapur sudah bicara kayak gitu apa tidak malu iya org indo yang mau atau sudah kaburajadulu,5,negatif,97.25
Sun Sep 28 15:16:36 +0000 2025,apply aja apa ya ya allah ? #kaburajadulu gitu maksudku.,1972319538424545640,X,apply saja apa iya iya allah kaburajadulu gitu maksudku,0,negatif,99.16
Sun Sep 28 15:01:06 +0000 2025,@bunuhidolamu @hrdbacot Udah bisa adu nasib sama negara 4 seasons indonesia selain pemerintah macam iblis cuaca juga bikin gatahan. Baiknya memang #kaburajadulu https://t.co/JC67THrKSl,1972315638585790905,X,sudah bisa adu nasib sama negara seasons indonesia selain pemerintah macam iblis cuaca juga bikin gatahan baiknya memang kaburajadulu,2,negatif,98.67
Sun Sep 28 14:27:55 +0000 2025,Mau banget jawab ini insyaAllah ketika dapat kepastian #kaburajadulu. Ikhtiar terus pokoknya.,1972307284991868937,X,mau banget jawab ini insyaallah ketika dapat kepastian kaburajadulu ikhtiar terus pokoknya,0,positif,98.02
Sun Sep 28 13:05:46 +0000 2025,@weebszz dan bodohnya mereka menyempitkan makna keresahan masyarakat dari #KaburAjaDulu sebagai persoalan kurangnya nasionalisme yg gak masuk akal itu,1972286611795918972,X,dan bodohnya mereka menyempitkan makna keresahan masyarakat dari kaburajadulu sebagai persoalan kurangnya nasionalisme yang gak masuk akal itu,0,negatif,99.67
Sun Sep 28 12:43:21 +0000 2025,@tanyakanrl #kaburajadulu kalian mau kemana? Kalau aku sih ke Jerman atau Swiss,1972280973216940289,X,kaburajadulu kalian mau kemana kalau aku sih ke jerman atau swiss,32,negatif,98.21
Sun Sep 28 12:17:05 +0000 2025,Dua professional dari Indonesia yang berprofesi sebagai arsitek sudah berangkat ke Jepang untuk bekerja di bidang manajemen konstruksi. Di luar dua ini adalagi beberapa yang sudah sampai juga tapi kandidat ga berkenan untuk dipublikasikan. Kamu kapan ikut #KaburAjaDulu ? https://t.co/8xOYOgNRHI,1972274360624034049,X,dua professional dari indonesia yang berprofesi sebagai arsitek sudah berangkat ke jepang untuk bekerja di bidang manajemen konstruksi di luar dua ini adalagi beberapa yang sudah sampai juga tapi kandidat ga berkenan untuk dipublikasikan kamu kapan ikut kaburajadulu,4,negatif,96.8
Sun Sep 28 11:35:24 +0000 2025,@odebukanpuisi Pembunuh yang diselamatkan ke Yordania sekaligus Testimoni #KaburAjaDulu,1972263873333076272,X,pembunuh yang diselamatkan ke yordania sekaligus testimoni kaburajadulu,0,netral,99.38
Sun Sep 28 11:30:43 +0000 2025,ni ada studytwt tpi khusus buat fokus ngincer S2 di luar negeri kah? I seriously considering S2 abroad buat #kaburajadulu,1972262693928407294,X,ini ada studytwt tapi khusus buat fokus ngincer s di luar negeri kah i seriously considering s abroad buat kaburajadulu,19,netral,38.92
Sun Sep 28 07:54:44 +0000 2025,buka x sekarang cuma buat cari motivasi belajar karena tiap buka x bawaannya muak sama pemerintah disini pengen buru-buru #kaburajadulu,1972208336902017120,X,buka x sekarang cuma buat cari motivasi belajar karena tiap buka x bawaannya muak sama pemerintah disini pengen buru buru kaburajadulu,0,negatif,99.82
Sun Sep 28 05:28:44 +0000 2025,@catsandkatzen tempo hari baca diskursus #kaburajadulu versi wni dengan gaji 35 100++ gives me another perspective tbh tapi kepentok fakta bahwa SESULIT itu buat dapet well-paid job di sini. it takes special skills real luck and the right opportunity (and or maybe link).,1972171597340725702,X,tempo hari baca diskursus kaburajadulu versi wni dengan gaji gives me another perspective tbh tapi kepentok fakta bahwa sesulit itu buat dapat well paid job di sini it takes special skills real luck and the right opportunity and or maybe link,9,positif,51.84
Sun Sep 28 02:56:09 +0000 2025,duluan ya #KaburAjaDulu https://t.co/OPPryeZzUI,1972133198030315706,X,duluan iya kaburajadulu,0,negatif,99.6
Sun Sep 28 01:59:04 +0000 2025,@Waelaahh Ehhh itu repost 2 minggu yg lalu edisi lg kangen Negara orang aja #KaburAjaDulu,1972118833923244309,X,ehhh itu repost minggu yang lalu edisi lagi kangen negara orang saja kaburajadulu,0,negatif,86.38
Sun Sep 28 01:53:57 +0000 2025,@ekky1995 Secara ga langsung Indonesia dianggap super power oleh Malaysia dan Singapore bisa ngatur FIFA #KaburAjaDulu,1972117543952568373,X,secara ga langsung indonesia dianggap super power oleh malaysia dan singapore bisa ngatur fifa kaburajadulu,8,negatif,93.83
Sat Sep 27 15:55:34 +0000 2025,Rasanya ingin #kaburajadulu,1971966958125060400,X,rasanya ingin kaburajadulu,0,negatif,99.07
Sat Sep 27 12:26:33 +0000 2025,@kiokunodilemma @hrdbacot Jalan2 sama tinggal 1-2 tahun beda sh ka rasanya. Walopun kangen sama abang2 cilok ato nasgor tetep menurut gw ga bisa menghalangi gw utk ga #kaburajadulu,1971914356670845155,X,jalan sama tinggal tahun beda sh kakak rasanya walopun kangen sama abang cilok atau nasi goreng tetep menurut saya ga bisa menghalangi saya untuk ga kaburajadulu,0,positif,99.01
Sat Sep 27 09:24:45 +0000 2025,Dari awal tahun udah rencana #kaburajadulu karena alasan ekonomi sekarang makin yakin untuk cabut dari sini karena pemerentahnya pendukung zionis,1971868605362196501,X,dari awal tahun sudah rencana kaburajadulu karena alasan ekonomi sekarang makin yakin untuk pergi dari sini karena pemerentahnya pendukung zionis,0,negatif,82.66
Sat Sep 27 08:22:57 +0000 2025,@inboundandhot kan mereka gapeduli sama orang lain maunya #KaburAjaDulu,1971853051251290189,X,kan mereka gapeduli sama orang lain maunya kaburajadulu,0,negatif,99.64
Sat Sep 27 05:12:42 +0000 2025,@dityaawahyu Amannn capt udeh sukses dah yeee #KaburAjaDulu,1971805175104131548,X,amannn capt udeh sukses deh yeee kaburajadulu,0,positif,98.8
Sat Sep 27 05:07:53 +0000 2025,Pamer otot Kepencet follow kabur #kaburajadulu,1971803963524874305,X,pamer otot kepencet follow kabur kaburajadulu,0,negatif,99.67
Sat Sep 27 04:07:31 +0000 2025,Boleh ga sih #kaburajadulu dari keluarga? Gue capek banget: ,1971788769562099721,X,boleh ga sih kaburajadulu dari keluarga saya capek banget,0,negatif,99.66
Sat Sep 27 01:43:30 +0000 2025,Gits kl ga inget kerjaan dia sebagai idol ibu kota kayaknya udah ikutan trend #kaburajadulu tuh dia ,1971752526929383468,X,gits kalau ga inget kerjaan dia sebagai idol ibu kota kayaknya sudah ikutan trend kaburajadulu tuh dia,0,positif,78.17
Sat Sep 27 00:38:50 +0000 2025,Tempo kok mau angkut cerita legenda rakyat pdhl saksi mata &amp; bukti foto ada dia #kaburajadulu,1971736252610486631,X,tempo kok mau angkut cerita legenda rakyat pdhl saksi mata amp bukti foto ada dia kaburajadulu,0,negatif,99.01
Fri Sep 26 23:43:10 +0000 2025,Mau #KaburAjaDulu ke Australia? Ingin hijrah &amp; jadi penduduk tetap di sana? 🇦🇺 Bagaimana caranya? Gak usah bingung segera Hubungi INTEGRITY LAWYERS satu-satunya law firm Indonesia yang berpraktik di Australia berkantor di Melbourne Sydney selain Jakarta. Profesor Denny https://t.co/EU601ThbTE,1971722243857436866,X,mau kaburajadulu ke australia ingin hijrah amp jadi penduduk tetap di sana bagaimana caranya gak perlu bingung segera hubungi integrity lawyers satu satunya law firm indonesia yang berpraktik di australia berkantor di melbourne sydney selain jakarta profesor denny,2,netral,86.76
Fri Sep 26 01:56:02 +0000 2025,Kirain dah duluan #kaburajadulu ,1971393292815507569,X,kirain deh duluan kaburajadulu,0,negatif,99.68
Fri Sep 26 00:50:16 +0000 2025,@kiokunodilemma @hrdbacot Kak emg ga benci negaranya. Hasrat #kaburajadulu tu karena udah desperate mo bnerin sistemnya gmn. Mo usaha di pemilu juga blom ada hasil.,1971376742217678884,X,kak emg ga benci negaranya hasrat kaburajadulu tu karena sudah desperate mau bnerin sistemnya gmn mau usaha di pemilu juga blom ada hasil,0,negatif,99.67
Fri Sep 26 00:37:21 +0000 2025,Iya ngga ya? #KaburAjaDulu https://t.co/PpGU1vOOhl,1971373492777185760,X,iya tidak iya kaburajadulu,0,negatif,99.61
Thu Sep 25 23:57:07 +0000 2025,@hrdbacot Long termnya ya #kaburajadulu tentu aja concernnya lebih ke anak sih. Temen ada yg awalnya kerja di Norway tapi terus dibawa keluarganya. Dengan penghasilannya di situ udah enak banget lah untuk hidup di Indo. Tapi concernnya pendidikan &amp; kesempatan yg lebih luas untuk anaknya.,1971363365755945091,X,long termnya iya kaburajadulu tentu saja concernnya lebih ke anak sih teman ada yang awalnya kerja di norway tapi terus dibawa keluarganya dengan penghasilannya di situ sudah enak banget lah untuk hidup di indo tapi concernnya pendidikan amp kesempatan yang lebih luas untuk anaknya,9,positif,98.55
Thu Sep 25 23:50:49 +0000 2025,@hrdbacot Udah masuk range itu tapi so far belum ada tekad bulat untuk #kaburajadulu sih tapi kalo ada kesempatan kerja di Middle East GoM Africa atau bahkan North Sea ya pasti diambil. Dapet penghasilan ekspat tapi tinggal di Indonesia sih yg dikejar dulu untuk short termnya.,1971361780044820944,X,sudah masuk range itu tapi so far belum ada tekad bulat untuk kaburajadulu sih tapi kalau ada kesempatan kerja di middle east gom africa atau bahkan north sea iya pasti diambil dapat penghasilan ekspat tapi tinggal di indonesia sih yang dikejar dulu untuk short termnya,2,negatif,56.49
Thu Sep 25 23:38:23 +0000 2025,@hrdbacot lohh justru orang dengan gaji &gt;35 juta malah makin mau #kaburajadulu ga sih min karena udah ada modal. yang ga mau antara daerah rumahnya nyaman karena keluarga atau pejabat pemerintah,1971358651953840250,X,lohh justru orang dengan gaji begitu juta bahkan makin mau kaburajadulu ga sih min karena sudah ada modal yang ga mau antara daerah rumahnya nyaman karena keluarga atau pejabat pemerintah,9,negatif,99.35
Thu Sep 25 20:47:57 +0000 2025,@hrdbacot Tentunya selain kualitas hidup secara umum pendidikan dan lingkungan untuk anak tumbuh kembang jd faktor krusial buat saya dan istri memutuskan buat #kaburajadulu. ((Kayaknya kalo krn muak sama pemerintah gausah disebut jg dah pd tau lah ya)),1971315760002933211,X,tentunya selain kualitas hidup secara umum pendidikan dan lingkungan untuk anak tumbuh kembang jadi faktor krusial buat saya dan istri memutuskan buat kaburajadulu kayaknya kalau karena muak sama pemerintah gausah disebut juga deh pada tahu lah iya,1,negatif,86.83
Thu Sep 25 16:36:04 +0000 2025,yang di publish mah happy nya ajaa emang ada yang tauu pas keluargaku kepuruk gimnaa yang masku tbtb harusss #kaburajadulu hahahaha demiii semuanya stabil?,1971252374246457715,X,yang di publish mah bahagia nya ajaa emang ada yang tauu pas keluargaku kepuruk gimnaa yang masku tbtb harusss kaburajadulu hahahaha demiii semuanya stabil,0,positif,87.46
Thu Sep 25 15:17:40 +0000 2025,@hrdbacot refrensi negara yang #kaburajadulu selain jadi tukang metik apel dan ngerawat lansia maupun kerja-kerja IT an?,1971232642663326040,X,refrensi negara yang kaburajadulu selain jadi tukang metik apel dan ngerawat lanjut usia maupun kerja kerja it an,6,negatif,55.76
Thu Sep 25 14:44:13 +0000 2025,Baru relate sama hastag ini #kaburajadulu Buat apa tanah air beta kalau lu kerja aja ga dihargai dengan layak,1971224224833601964,X,baru relate sama hastag ini kaburajadulu buat apa tanah air beta kalau kamu kerja saja ga dihargai dengan layak,9,negatif,99.72
Thu Sep 25 13:07:57 +0000 2025,@reynaa KARUYAAA SEMANGAT #Kaburajadulu semoga lancar dipermudah semuanyaaa wml juga hihiw,1971199999833968973,X,karuyaaa semangat kaburajadulu semoga lancar dipermudah semuanyaaa wml juga hihiw,0,positif,95.44
Thu Sep 25 13:07:29 +0000 2025,@kasanaruphrase @HOKUTOBOO36 Takut banget di reply beneran terus ngajak kawin #KaburAjaDulu,1971199882498310160,X,takut banget di reply beneran terus ngajak kawin kaburajadulu,0,negatif,99.79
Thu Sep 25 13:02:50 +0000 2025,buat yang bertanya bagaimana kehidupanku setelah resign aku sibuk mempersiapkan ini guys doain lolos yah biar bisa #kaburajadulu :3 anyway jgn lupa nonton like n suskrep n komen sangkyu!!!! https://t.co/ucGfx2E7LB https://t.co/oSD7TV8lzN,1971198710437830753,X,buat yang bertanya bagaimana kehidupanku setelah resign aku sibuk mempersiapkan ini teman-teman doain lolos yah biar bisa kaburajadulu anyway jangan lupa nonton like dan suskrep dan komen sangkyu,0,positif,52.47
Thu Sep 25 12:54:27 +0000 2025,@rihakri gas lah udh muak dgn negara ini #KaburAjaDulu,1971196602233831787,X,gas lah udh muak dengan negara ini kaburajadulu,26,negatif,99.81
Thu Sep 25 12:35:17 +0000 2025,@hrdbacot Dari tahun lalu udah pengen #kaburajadulu Tapi setelah coba jalan-jalan ke LN tahun ini jadi memutuskan ga jadi. Diri ini tersadar bahwa yang dibenci itu bukan negaranya tapi sistem yang rusak :(,1971191779526574291,X,dari tahun lalu sudah pengen kaburajadulu tapi setelah coba jalan jalan ke ln tahun ini jadi memutuskan ga jadi diri ini tersadar bahwa yang dibenci itu bukan negaranya tapi sistem yang rusak,0,negatif,99.76
Thu Sep 25 12:28:08 +0000 2025,Dulu mau #kaburajadulu jaman miskin 2018 masi mahasiswa penghasilan ngajar private anak SD ya around 2 - 4 juta Dulu pengen bgt WHV Aussie HAHA Alleb PERSONALLY ketika lg pengen #kaburajadulu tandanya w lg di lowest low point alias merasa tidak competitive di Indonesia,1971189976743411874,X,dulu mau kaburajadulu jaman miskin masi mahasiswa penghasilan ngajar private anak sd iya around juta dulu pengen banget whv aussie tertawa alleb personally ketika lagi pengen kaburajadulu tandanya w lagi di lowest kalau point alias merasa tidak competitive di indonesia,2,negatif,93.78
Thu Sep 25 12:17:18 +0000 2025,@hwangppil Emang bener #kaburajadulu WKWK kmrn tu ya sbnrnya w mau apply enha TP TELAT SEHARI TP JUGA W UDH BAYAR WEVERSE WKWKWKWKKW,1971187254174548445,X,emang benar kaburajadulu wkwk kemarin tu iya sbnrnya w mau apply enha tapi terlambat sehari tapi juga w udh bayar weverse wkwkwkwkkw,0,negatif,86.04
Thu Sep 25 12:04:40 +0000 2025,Yang mau #kaburajadulu yuk barengan..,1971184072044183896,X,yang mau kaburajadulu yuk barengan,0,netral,97.51
Thu Sep 25 11:35:08 +0000 2025,@BivitriS @barengwarga Udah kga ketolong ini negara. Dikritik digaslek antek asing turun aksi ditangkep tangkepin bnyak yg luka2 dll ngubah dari dalem ga mungkin yg ada malah ... Jalan satu2nya bisa nikmatin hidup dengan tenang memang cuman #KaburAjaDulu.,1971176639708225550,X,sudah kga ketolong ini negara dikritik digaslek antek asing turun aksi ditangkep tangkepin bnyak yang luka dan lain-lain ngubah dari dalem ga mungkin yang ada bahkan jalan satunya bisa nikmatin hidup dengan tenang memang cuman kaburajadulu,0,negatif,99.35
Thu Sep 25 11:33:37 +0000 2025,@hrdbacot Mungkin penghasilan &gt;35-100 juta di Indonesia itu bisa didapatkan dalam jangka waktu satu tahun; bahkan lebih. Sedangkan yang #KaburAjaDulu suka percepatan.,1971176259435827648,X,mungkin penghasilan begitu juta di indonesia itu bisa didapatkan dalam jangka waktu satu tahun bahkan lebih sedangkan yang kaburajadulu suka percepatan,2,positif,96.1
Thu Sep 25 11:13:23 +0000 2025,@hrdbacot Baru denger pidato Trump. Takut ah #kaburajadulu. Udah capek2 nabung dan investasi diluar negeri tiba2 rumah gw dibakar penduduk radikal yg rasis. Plus minus lebih enak tinggal di Indonesia. Dinegara sendiri.,1971171166648930405,X,baru denger pidato trump takut ah kaburajadulu sudah capek nabung dan investasi diluar negeri tiba rumah saya dibakar penduduk radikal yang rasis plus minus lebih enak tinggal di indonesia dinegara sendiri,0,negatif,99.72
Thu Sep 25 10:46:34 +0000 2025,Teman-teman yang udah berhasil #kaburajadulu mau tanya deh waktu di Indonesia yang penghasilannya udah &gt;35-100juta tapi kenapa tetap mau #kaburajadulu?,1971164420605870121,X,teman teman yang sudah berhasil kaburajadulu mau tanya deh waktu di indonesia yang penghasilannya sudah begitu juta tapi kenapa tetap mau kaburajadulu,9,negatif,67.5
Thu Sep 25 10:03:33 +0000 2025,@chocoabitter Amakura Shina #kaburajadulu tapi ga kabur-kabur,1971153592393531754,X,amakura shina kaburajadulu tapi ga kabur kabur,0,negatif,93.36
Thu Sep 25 08:45:00 +0000 2025,@kegblgnunfaedh #kaburajadulu ke jepang Australia malaysia Singapura dll indonesia lagi sulit,1971133825729405306,X,kaburajadulu ke jepang australia malaysia singapura dan lain-lain indonesia lagi sulit,8,negatif,99.04
Thu Sep 25 08:40:52 +0000 2025,Memulai hari pertama #kaburajadulu https://t.co/vJvNmuccUx,1971132785818730574,X,memulai hari pertama kaburajadulu,0,netral,65.28
Thu Sep 25 06:52:12 +0000 2025,petty shit ass country dari kerajaan ke rakyat sama bodoh now termakan action sendiri berapa ramai #KaburAjaDulu ke Malaysia jijik,1971105437069214112,X,petty shit ass country dari kerajaan ke rakyat sama bodoh now termakan action sendiri berapa ramai kaburajadulu ke malaysia jijik,8,negatif,99.63
Thu Sep 25 06:23:04 +0000 2025,tapi gpp memang lebih baik kabur aja dulu bismillah kita bsa #kaburajadulu. Jangan lupa belajar bahasa jepang/korea/mandarin!,1971098104758714463,X,tapi tidak apa-apa memang lebih baik kabur saja dulu bismillah kita bisa kaburajadulu jangan lupa belajar bahasa jepang korea mandarin,4,negatif,96.07
