created_at,full_text,id_str,platform,clean_text,topic_id_v2
Sun Sep 28 14:27:55 +0000 2025,Mau banget jawab ini insyaAllah ketika dapat kepastian #kaburajadulu. Ikhtiar terus pokoknya.,1972307284991868937,X,mau banget jawab ini insyaallah ketika dapat kepastian kaburajadulu ikhtiar terus pokoknya,0
Sun Sep 28 13:05:46 +0000 2025,@weebszz dan bodohnya mereka menyempitkan makna keresahan masyarakat dari #KaburAjaDulu sebagai persoalan kurangnya nasionalisme yg gak masuk akal itu,1972286611795918972,X,dan bodohnya mereka menyempitkan makna keresahan masyarakat dari kaburajadulu sebagai persoalan kurangnya nasionalisme yang gak masuk akal itu,0
Sun Sep 28 12:58:51 +0000 2025,@tanyarlfes Bisa kok di toko emas manapun jg bisa. Khusus antam bahkan bisa dijual di luar negeri krn wes akreditasi LBMA jd bisa utk modal #kaburajadulu ke LN,1972284873957318731,X,bisa kok di toko emas manapun juga bisa khusus antam bahkan bisa dijual di luar negeri karena wes akreditasi lbma jadi bisa untuk modal kaburajadulu ke ln,-1
Sun Sep 28 12:43:21 +0000 2025,@tanyakanrl #kaburajadulu kalian mau kemana? Kalau aku sih ke Jerman atau Swiss,1972280973216940289,X,kaburajadulu kalian mau kemana kalau aku sih ke jerman atau swiss,32
Sun Sep 28 12:17:05 +0000 2025,Dua professional dari Indonesia yang berprofesi sebagai arsitek sudah berangkat ke Jepang untuk bekerja di bidang manajemen konstruksi. Di luar dua ini adalagi beberapa yang sudah sampai juga tapi kandidat ga berkenan untuk dipublikasikan. Kamu kapan ikut #KaburAjaDulu ? https://t.co/8xOYOgNRHI,1972274360624034049,X,dua professional dari indonesia yang berprofesi sebagai arsitek sudah berangkat ke jepang untuk bekerja di bidang manajemen konstruksi di luar dua ini adalagi beberapa yang sudah sampai juga tapi kandidat ga berkenan untuk dipublikasikan kamu kapan ikut kaburajadulu,4
Sun Sep 28 11:35:24 +0000 2025,@odebukanpuisi Pembunuh yang diselamatkan ke Yordania sekaligus Testimoni #KaburAjaDulu,1972263873333076272,X,pembunuh yang diselamatkan ke yordania sekaligus testimoni kaburajadulu,0
Sun Sep 28 11:30:43 +0000 2025,ni ada studytwt tpi khusus buat fokus ngincer S2 di luar negeri kah? I seriously considering S2 abroad buat #kaburajadulu,1972262693928407294,X,ini ada studytwt tapi khusus buat fokus ngincer s di luar negeri kah i seriously considering s abroad buat kaburajadulu,19
Sun Sep 28 10:00:01 +0000 2025,[ADS] Buat yang tertarik bisa follow @les_kopula dulu biar gak ketinggalan info! Share juga biar temen kalian yang butuh untuk #KaburAjaDulu bisa ikut #BeasiswaKopula ini ya!,1972239865749316016,X,ads buat yang tertarik bisa follow dulu biar gak ketinggalan informasi share juga biar teman kalian yang butuh untuk kaburajadulu bisa ikut beasiswakopula ini iya,-1
Sun Sep 28 07:54:44 +0000 2025,buka x sekarang cuma buat cari motivasi belajar karena tiap buka x bawaannya muak sama pemerintah disini pengen buru-buru #kaburajadulu,1972208336902017120,X,buka x sekarang cuma buat cari motivasi belajar karena tiap buka x bawaannya muak sama pemerintah disini pengen buru buru kaburajadulu,0
Sun Sep 28 05:28:44 +0000 2025,@catsandkatzen tempo hari baca diskursus #kaburajadulu versi wni dengan gaji 35 100++ gives me another perspective tbh tapi kepentok fakta bahwa SESULIT itu buat dapet well-paid job di sini. it takes special skills real luck and the right opportunity (and or maybe link).,1972171597340725702,X,tempo hari baca diskursus kaburajadulu versi wni dengan gaji gives me another perspective tbh tapi kepentok fakta bahwa sesulit itu buat dapat well paid job di sini it takes special skills real luck and the right opportunity and or maybe link,9
Sun Sep 28 02:56:09 +0000 2025,duluan ya #KaburAjaDulu https://t.co/OPPryeZzUI,1972133198030315706,X,duluan iya kaburajadulu,0
Sun Sep 28 01:59:04 +0000 2025,@Waelaahh Ehhh itu repost 2 minggu yg lalu edisi lg kangen Negara orang aja #KaburAjaDulu,1972118833923244309,X,ehhh itu repost minggu yang lalu edisi lagi kangen negara orang saja kaburajadulu,0
Sun Sep 28 01:53:57 +0000 2025,@ekky1995 Secara ga langsung Indonesia dianggap super power oleh Malaysia dan Singapore bisa ngatur FIFA #KaburAjaDulu,1972117543952568373,X,secara ga langsung indonesia dianggap super power oleh malaysia dan singapore bisa ngatur fifa kaburajadulu,8
Sat Sep 27 23:18:58 +0000 2025,ADUH MENDING AKU JADI WARGA SAUDI AJA #kaburajadulu,1972078541304181191,X,aduh lebih baik aku jadi warga saudi saja kaburajadulu,-1
Sat Sep 27 15:55:34 +0000 2025,Rasanya ingin #kaburajadulu,1971966958125060400,X,rasanya ingin kaburajadulu,0
Sat Sep 27 14:15:04 +0000 2025,@reynaa Congratssss ieltsnya karuyaaa! Maw robux @Syavierla ajh karna dah pensi palo selain karna skinku bacon i just wish u allllll the best on your long journey kedepannyaaa doakan ak juga bisa dapet skor tinggi dan one shot pas tes jerman ntar semoga kita sukses via #Kaburajadulu,1971941666396557512,X,congratssss ieltsnya karuyaaa maw robux ajh karena deh pensi palo selain karena skinku bacon i just wish kamu allllll the best on your long journey kedepannyaaa doakan saya juga bisa dapat skor tinggi dan one shot pas tes jerman nanti semoga kita sukses via kaburajadulu,-1
Sat Sep 27 14:01:39 +0000 2025,@adith_wp @LutfiHidayatR Udah jadi penggerak #KaburAjaDulu kok ga bisa lari,1971938289646293042,X,sudah jadi penggerak kaburajadulu kok ga bisa lari,-1
Sat Sep 27 12:26:33 +0000 2025,@kiokunodilemma @hrdbacot Jalan2 sama tinggal 1-2 tahun beda sh ka rasanya. Walopun kangen sama abang2 cilok ato nasgor tetep menurut gw ga bisa menghalangi gw utk ga #kaburajadulu,1971914356670845155,X,jalan sama tinggal tahun beda sh kakak rasanya walopun kangen sama abang cilok atau nasi goreng tetep menurut saya ga bisa menghalangi saya untuk ga kaburajadulu,0
Sat Sep 27 09:24:45 +0000 2025,Dari awal tahun udah rencana #kaburajadulu karena alasan ekonomi sekarang makin yakin untuk cabut dari sini karena pemerentahnya pendukung zionis,1971868605362196501,X,dari awal tahun sudah rencana kaburajadulu karena alasan ekonomi sekarang makin yakin untuk pergi dari sini karena pemerentahnya pendukung zionis,0
Sat Sep 27 08:22:57 +0000 2025,@inboundandhot kan mereka gapeduli sama orang lain maunya #KaburAjaDulu,1971853051251290189,X,kan mereka gapeduli sama orang lain maunya kaburajadulu,0
Sat Sep 27 05:30:10 +0000 2025,@hrdbacot Yeyy tahun ini lulus smoga bisa #kaburajadulu,1971809568205557868,X,yeyy tahun ini lulus smoga bisa kaburajadulu,-1
Sat Sep 27 05:12:42 +0000 2025,@dityaawahyu Amannn capt udeh sukses dah yeee #KaburAjaDulu,1971805175104131548,X,amannn capt udeh sukses deh yeee kaburajadulu,0
Sat Sep 27 05:07:53 +0000 2025,Pamer otot Kepencet follow kabur #kaburajadulu,1971803963524874305,X,pamer otot kepencet follow kabur kaburajadulu,0
Sat Sep 27 04:07:31 +0000 2025,Boleh ga sih #kaburajadulu dari keluarga? Gue capek banget: ,1971788769562099721,X,boleh ga sih kaburajadulu dari keluarga saya capek banget,0
Sat Sep 27 01:43:30 +0000 2025,Gits kl ga inget kerjaan dia sebagai idol ibu kota kayaknya udah ikutan trend #kaburajadulu tuh dia ,1971752526929383468,X,gits kalau ga inget kerjaan dia sebagai idol ibu kota kayaknya sudah ikutan trend kaburajadulu tuh dia,0
Sat Sep 27 00:38:50 +0000 2025,Tempo kok mau angkut cerita legenda rakyat pdhl saksi mata &amp; bukti foto ada dia #kaburajadulu,1971736252610486631,X,tempo kok mau angkut cerita legenda rakyat pdhl saksi mata amp bukti foto ada dia kaburajadulu,0
Fri Sep 26 23:43:10 +0000 2025,Mau #KaburAjaDulu ke Australia? Ingin hijrah &amp; jadi penduduk tetap di sana? 🇦🇺 Bagaimana caranya? Gak usah bingung segera Hubungi INTEGRITY LAWYERS satu-satunya law firm Indonesia yang berpraktik di Australia berkantor di Melbourne Sydney selain Jakarta. Profesor Denny https://t.co/EU601ThbTE,1971722243857436866,X,mau kaburajadulu ke australia ingin hijrah amp jadi penduduk tetap di sana bagaimana caranya gak perlu bingung segera hubungi integrity lawyers satu satunya law firm indonesia yang berpraktik di australia berkantor di melbourne sydney selain jakarta profesor denny,2
Fri Sep 26 23:02:50 +0000 2025,Influencer NON Berbayar. Niat kami hanya ingin MENCEGAH penipuan cara gampang cari kerja dan pindah ke Australia 🇦🇺 yg blakangan marak banget. Penipunya makin GAMPANG dapet korban karena netijen terprovokasi tagar #kaburajadulu Merantau itu keren tapi ga bisa FOMO https://t.co/Km5KJQFWQZ,1971712092429586506,X,influencer non berbayar niat kami hanya ingin mencegah penipuan cara gampang cari kerja dan pindah ke australia yang blakangan marak banget penipunya makin gampang dapat korban karena netijen terprovokasi tagar kaburajadulu merantau itu keren tapi ga bisa fomo,-1
Fri Sep 26 01:56:02 +0000 2025,Kirain dah duluan #kaburajadulu ,1971393292815507569,X,kirain deh duluan kaburajadulu,0
Fri Sep 26 00:50:16 +0000 2025,@kiokunodilemma @hrdbacot Kak emg ga benci negaranya. Hasrat #kaburajadulu tu karena udah desperate mo bnerin sistemnya gmn. Mo usaha di pemilu juga blom ada hasil.,1971376742217678884,X,kak emg ga benci negaranya hasrat kaburajadulu tu karena sudah desperate mau bnerin sistemnya gmn mau usaha di pemilu juga blom ada hasil,0
Fri Sep 26 00:37:21 +0000 2025,Iya ngga ya? #KaburAjaDulu https://t.co/PpGU1vOOhl,1971373492777185760,X,iya tidak iya kaburajadulu,0
Thu Sep 25 23:57:07 +0000 2025,@hrdbacot Long termnya ya #kaburajadulu tentu aja concernnya lebih ke anak sih. Temen ada yg awalnya kerja di Norway tapi terus dibawa keluarganya. Dengan penghasilannya di situ udah enak banget lah untuk hidup di Indo. Tapi concernnya pendidikan &amp; kesempatan yg lebih luas untuk anaknya.,1971363365755945091,X,long termnya iya kaburajadulu tentu saja concernnya lebih ke anak sih teman ada yang awalnya kerja di norway tapi terus dibawa keluarganya dengan penghasilannya di situ sudah enak banget lah untuk hidup di indo tapi concernnya pendidikan amp kesempatan yang lebih luas untuk anaknya,9
Thu Sep 25 23:50:49 +0000 2025,@hrdbacot Udah masuk range itu tapi so far belum ada tekad bulat untuk #kaburajadulu sih tapi kalo ada kesempatan kerja di Middle East GoM Africa atau bahkan North Sea ya pasti diambil. Dapet penghasilan ekspat tapi tinggal di Indonesia sih yg dikejar dulu untuk short termnya.,1971361780044820944,X,sudah masuk range itu tapi so far belum ada tekad bulat untuk kaburajadulu sih tapi kalau ada kesempatan kerja di middle east gom africa atau bahkan north sea iya pasti diambil dapat penghasilan ekspat tapi tinggal di indonesia sih yang dikejar dulu untuk short termnya,2
Thu Sep 25 23:38:23 +0000 2025,@hrdbacot lohh justru orang dengan gaji &gt;35 juta malah makin mau #kaburajadulu ga sih min karena udah ada modal. yang ga mau antara daerah rumahnya nyaman karena keluarga atau pejabat pemerintah,1971358651953840250,X,lohh justru orang dengan gaji begitu juta bahkan makin mau kaburajadulu ga sih min karena sudah ada modal yang ga mau antara daerah rumahnya nyaman karena keluarga atau pejabat pemerintah,9
Thu Sep 25 21:15:14 +0000 2025,Ga ada kepikiran #kaburajadulu krn sudah berkeluarga dan ortu masih ada. Plus disuruh jagain warisan keluarga. Di Sukabumi polusi sedikit transum mmg ga ok tapi suhu udaranya yg adem banyak pegunungan air terjun laut bikin ga mau geser kemanapun. Jam kerja flexible,1971322626082845119,X,ga ada terpikirkan kaburajadulu karena sudah berkeluarga dan orang tua masih ada plus disuruh jagain warisan keluarga di sukabumi polusi sedikit transum mmg ga ok tapi suhu udaranya yang adem banyak pegunungan air terjun laut bikin ga mau geser kemanapun jam kerja flexible,-1
Thu Sep 25 20:47:57 +0000 2025,@hrdbacot Tentunya selain kualitas hidup secara umum pendidikan dan lingkungan untuk anak tumbuh kembang jd faktor krusial buat saya dan istri memutuskan buat #kaburajadulu. ((Kayaknya kalo krn muak sama pemerintah gausah disebut jg dah pd tau lah ya)),1971315760002933211,X,tentunya selain kualitas hidup secara umum pendidikan dan lingkungan untuk anak tumbuh kembang jadi faktor krusial buat saya dan istri memutuskan buat kaburajadulu kayaknya kalau karena muak sama pemerintah gausah disebut juga deh pada tahu lah iya,1
Thu Sep 25 16:36:04 +0000 2025,yang di publish mah happy nya ajaa emang ada yang tauu pas keluargaku kepuruk gimnaa yang masku tbtb harusss #kaburajadulu hahahaha demiii semuanya stabil?,1971252374246457715,X,yang di publish mah bahagia nya ajaa emang ada yang tauu pas keluargaku kepuruk gimnaa yang masku tbtb harusss kaburajadulu hahahaha demiii semuanya stabil,0
Thu Sep 25 15:17:40 +0000 2025,@hrdbacot refrensi negara yang #kaburajadulu selain jadi tukang metik apel dan ngerawat lansia maupun kerja-kerja IT an?,1971232642663326040,X,refrensi negara yang kaburajadulu selain jadi tukang metik apel dan ngerawat lanjut usia maupun kerja kerja it an,6
Thu Sep 25 14:44:13 +0000 2025,Baru relate sama hastag ini #kaburajadulu Buat apa tanah air beta kalau lu kerja aja ga dihargai dengan layak,1971224224833601964,X,baru relate sama hastag ini kaburajadulu buat apa tanah air beta kalau kamu kerja saja ga dihargai dengan layak,9
