clean_text,label,label_num
longsor amp banjir bandang akan terus terjadi di era globalwarming jika hutan indonesia belum pulih pak cc indonesiagelap stopdeforestasi lakukanreforestasiprogresif,netral,1
may this kind of life find me aamiin iya allah,positif,2
bisa saja mungkin naik haji atau keliling dunia atau kaburajadulu heol,negatif,0
ngobrolnya santai formatnya hybrid topiknya daging banget accessibility career amp industry in global buat dev designer pm ux writer researcher semua yang bikin produk digital bahas bareng ayid amp di kaburajadulu,positif,2
pemerintah tuh mencakup semua yang memiliki jabatan di berbagai lembaga yang ada di indonesia seperti mk dpr mpr presiden,netral,1
terpecah belah indonesia,negatif,0
orang seperti ini apa ga ada instansi pemerintah atau lembaga atau departemen apa yang bisa memeriksa bahwa informasi dr orang yang bicara ini valid atau tidak karena kalau tidak indikasinya pembohongan informasi dengan bisa membuat orang awam atau polos bisa terjebak lalu percaya,negatif,0
di indo bukan kerja bahkan di kerjain,negatif,0
bukan masalah nasionalisme pmerintah tinggal sediakan lapangan kerja yang bnyak dan gk patokkan umur dan brpenampilan menarik tinggi dan lain-lain,negatif,0
bismillah tahun depan ke jepang soalnya belajar dulu bahasa sama nabung dulu aminnnnn,positif,2
buat kata kata di bawah ini,netral,1
babi babi eh babu negara bukannya berpikir bagaimana caranya supaya warga mendapat peletjaan dan penghidupan yang layak bahkan nyuruh milir buat keluar padahal kemarin ada tagar kaburajadulu bahkan dilecehin babiiiiii babiiii eh babuuuu babuuuuu kayak babi,negatif,0
eh maksud saya kabinet gendut tapi kerjanya tidak gendutin kerja kamu pada jangan cuma kabinet dan kantong kamu pada yang digendutin tapi kerjanya kosong rakyat tetep hidup susyaaah sampai untuk makan didukung org baik dr luar negeri humanity amp resistance knows no boundary,negatif,0
saya kabur sejak umur sampai sekarang,negatif,0
kalau nu sih saya percaya yang ada sejarahnya nu ga nyusu ke pemerintah,negatif,0
i hv just met someone and we talked b anything then suddenly he said don t kamu know b kaburajadulu that program is coming from prabowo i was freeze for a second as far as i know kaburajadulu keluar karena kebijakan prab yang gak masuk akal dan sangat merugikan so banyak ya,negatif,0
ga mau percaya banget sm tarot tapi tarot pemerintah buat saya percaya saya tunggu sih pemerintah ini hancur se hancur hancur nya revisi ulang ganti baru,negatif,0
sebenernya bukan negara yang tidak mencintai kita tapi pemerintahnya yang tidak mencitai rakyatnya,negatif,0
emang mnyt ini pemerintah saya mau kpopan sampai ga mood mau pulang kerja takut mati bernagkat kerja takut kelindes mana ini negara yang katanya menjadi tanah aman buat rakyatnya eh lupa pejabatnya mah pada ke luar negeri iya yang sengsara rakyatnya saja,negatif,0
emang cuman manusia doang yang boleh kaburajadulu,negatif,0
rekomendasi negara yang worth it buat kaburajadulu,positif,2
mau dong adik tapi buat sepupu kakak,netral,1
iya allah semoga sebelum tahun bisa kaburajadulu ke findland swedia atau norwegia aamiin,positif,2
kaburajadulu lagi kayaknya gini terus dan sudah kebaca kedepannya ri kaya bagaimana,negatif,0
kurang nasionslis apa pencetus nkri tan malaka bernasib bagaimana di tangan bangsanya sendiri,negatif,0
harus punya rawa rontek kalau kepala terbelah harus bisa balik sendiri afro attamimi wardani tika,netral,1
dia saja di cariin sm bpknya,netral,1
kalau itu langsung kaburajadulu dik,negatif,0
indonesia emas indonesia cemas,negatif,0
uhuk kaburajadulu,negatif,0
ya jika allah meridhoi,positif,2
hhhhh makanya semoga bisa secepatnya kaburajadulu,netral,1
kalau ada uang nya bisa kok pergi ke luar negeri tapi mengurus paspor dan lain-lain susah,negatif,0
semoga aku bisa tahun ini lewat jalur langit dulu saja,positif,2
bismillah semoga kabar baiikkk dan bisa kaburajadulu,positif,2
ojk menyampaikan apresiasi kepada kepolisian negara ri kejaksaan agung kementerian hukum kementerian imigrasi dan pemasyarakatan kementerian luar negeri serta ppatk atas dukungan dan kerja sama dalam pemulangan tersangka aag selengkapnya simak di postingan ini,netral,1
dekade lalu tahun sebelum ke kaburajadulu ke nipon profesyenal importyer enjenir,netral,1
kamu saja noh ke kamboja,netral,1
di tik tidak juga bisa belajar bhs inggris mah gratis lagi,netral,1
kamu yang milih kamu yang kabur jt lapangan pekerjaan lho kata gibran,negatif,0
informasi kaburajadulu dong buat orang bertato usia,negatif,0
kok sekarang pejabatnya yang kaburajadulu kocak,negatif,0
bang kamu bikin dia menangis di pojokan tuh,negatif,0
ngebela presiden segininya banget deh kamu,positif,2
padahal mau ke los angeles,negatif,0
saingan kaya biasa nyaingin saja,negatif,0
bang aku baru pakai sandal sudah di tinggal parah banget,negatif,0
di pikir garment umr semua kocak saya tanya kamu udh pernah kerja belum kalau belum lebih baik diem banyak pt yang ngegaji di bawah umr,negatif,0
barti di kerjaan nya kalau gitu knapa saya brani bicara gitu soal nya saya uda di jepang tahun,negatif,0
saya ga akan percaya pemerintah polisi tni dpr semua apapun itu kalau mereka memberikan berita saya ga akan percaya,negatif,0
tombol kabur saja dulu,negatif,0
yah pada kaburajadulu ke ln penakut ah tidak berani nemuin atau bagaimana,negatif,0
sudah tamat tapi gak tahu bagaimana caranya susah banget mencari kerja di indonesia,negatif,0
cih ngebuzzer bukannya bikin rakyat jadi percaya sama pemerintah ini bahkan ngevalidasi kalau pemerintah nganggep rakyat ga penting peduli cmn di duit rakyatnya doang tolol,negatif,0
informasi negara buat kaburajadulu,negatif,0
cari kerja dalam negeri saja aku gagal apalagi di luar negeri born jadi wni curse yang gk bisa disembuhkan well sebagian juga kesalahan ku untuk jadi seseorang yang incompetent fuck,negatif,0
ankut aku juga dong kak taruh di koper juga gapapa,netral,1
kamu mau kabur ke luar negeri pikir dulu deh hidup di sana tidak semudah di tiktok saudara laki-laki,negatif,0
akan ku usahakan trend ini dalam waktu tahun lagi tunggu aku iya,netral,1
doain aku bisa nyusul yaa bangg,positif,2
cek vt saya buruannnnn,netral,1
ganti pemerinta,negatif,0
rakyat bikin kaburajadulu dibilang ga cinta tanah air eh sekarang bahkan wakilnya pada kabur keluar negeri ga mau nemuin rakyat tolol memang,negatif,0
ahhhh sudahlah tidak ada kata yang pas buat pejabat korupsi di indonesia kaburajadulu pilihan terbaik untuk keluarga yang harus di perhatikan masa depannya,negatif,0
bukannya emang iya,negatif,0
barusan banget bilang ke sodara kalau mau kaburajadulu jangan ke jepang lebih baik sekalian ke aussie ambil visa dhv atau jerman sambil belajar ausbildung,negatif,0
rekomendasi negara plis,negatif,0
gaji juta sebulan tuu sama dengan ke sehari gk akan bertahan sampai sebulan tu gaji juta,negatif,0
dapat dipajakin wkwkwkwk,negatif,0
ini sungguh luar biasa kolaborasi modern otoritas bangun prasarana warga isi melalui terobosan kerja sama inilah kunci kunci negeri ini menonjol di panggung dunia kibarkan semangat maju,positif,2
tull good looking tiap hari harus ber outfit gaji,positif,2
bang luh ga perlu ngarang nasi seporsi skrng rb rb tongkol ajah rb sudah rb rb kangkung rb ini lagi pakai luh tulis telur dadar ketahuan luh cuma nyebokin pemerintah kalau ga percaya ayo saya dijakbar kita kewarteg kalau tweet luh ga sesuai duit hasil buzzer luh buat saya,negatif,0
pict aku kok bisa si kamu masih percaya pemerintah disaat pemerintah seperti tai dia soalnya saya kalau benci pemerintah bahkan capek sendiri saya gapernah profesional terhadap sesuatu tapi juga ga pernah sampai benci gitu saya mau memikirkan hidupku yang memusingkan ini ini saja deh stress,negatif,0
pejabat korupsi untuk sekolah anaknya di luar negeri harapannya jadi world citizen kerja di luar negeri eh anaknya bodoh males dan hobi hura hura akhirnya lulus pulang lagi ikut jalan hidup ayahnya jadi pejabat fan korupsi atau jualan batubara dan tanam sawit,negatif,0
hahaha dengan apa dengan memusnahkan orang orang ekonomi menengah kebawah kah wajar sih makin marak wni kerja ke luar negeri,negatif,0
mungkin adek nya belum tahu salah satu ketentuan dan syarat ke luar negeri harus lulusan sama yaa klu mau kerja tapi klu mau lanjut sama di luar negeri biayanya cenderung lebih mahal itu tergantung pilihan adeknya ambillah keputusan yang benar hidup cuma sekali,negatif,0
sudah mirip buzzer yang dulu teriak jokowi presiden dollar us dibawah rb indo hutang luar negeri stop uang kita banyk tinggal mau kerja tidk stop impor jagung kedelai beras stop kita semua ada,negatif,0
memiliki orang tua yang cukup dikenal di indonesia ketiga putri shahnaz haque tidak merasa gengsi bekerja serabutan demi mendapatkan uang tambahan,positif,2
rill ini indonesia,netral,1
ramainya kasus pekerja migran indonesia pmi yang tertipu lowongan kerja ke luar negeri disinyalir karena terlalu mudah percaya dengan iklan iklan yang beredar di media sosial khususnya facebook deputi bidang koordinasi pemberdayaan ekonomi masyarakat dan perlindungan pekerja,netral,1
beda pemerintah itu bapak prabowo sedangkan golongan mafia itu anies dan pengikutnya,negatif,0
pemain keturunan indonesia demiane agustien dikontrak arsenal sampai kapan ingin tahu silahkan baca selengkapnya begitu begitu kaburajadulu indonesiagelap,netral,1
ku tunggu tahun bagaimana kabarnya,netral,1
nyenyenyee untuk percaya kepada pemerintah yang saya pimpin kamu jadi pemimpin saja ga benar jancok dpr ga guna dinaikin tunjangan nya ini itu mbg hancur abisin duit rakyat perambok penindasan hancur sdh seperti mana mau percaya kamu tidak becus,negatif,0
benar banget w saja yang punya sekil masih terhalang umur,negatif,0
kenapa lagi ada yang nyindir coups ga wajib militer lagi gila padahal segitu ketatnya soal wajib militer loh pemerintah disana sudah banyak kasus yang artis nyalahi aturan saja dijatuhi hukuman gitu masih ga percaya emank konoha,negatif,0
masalahnya juta orangnya orang orang yang potensial bang iya mikir saja memangnya menurut kamu yang out ke indo orang miskin semua,negatif,0
warga sudah sadar yang jahat selama ini pemerintah sudah ga percaya pemerintah sudah paham permainan pemerintah warga bantu warga,negatif,0
akibat korupsi dimana mana oleh pemerintah anj,negatif,0
dijadikan rendang atau steak,netral,1
kalau gak becus kerja tuh mundur anjing resignn bukannya bahkan kabur ke luar negeri gara gara takut didemo massa cuih pengecut,negatif,0
bantu aku ikut kak,netral,1
kaburajadulu lari dari kenyataan dong,negatif,0
tkw jiran nihh,negatif,0
apakah ini saatnya kaburajadulu,negatif,0
yang buat trend rata kameranya baguss,positif,2
kunci nya kaburajadulu,negatif,0
sebenernya yang kita ragukam adalah nasionalisme bapak dan kawan-kawan pak soalnya,negatif,0
true tetangga saya lulusan sd skrg dia di kerja di australia dengan gaji jt itu pokok belum termasuk lemburan,netral,1
baru pada pulang habis kaburajadulu ye,negatif,0
wkwkwk iya lagi,netral,1
lpk mana bang,negatif,0
wahar chaebol di danai pemerintah buat memajukan negara dan mengajak rakyat maju bersama di indo bahkan mengambil sda sama eksploitasi sdm nya kalau ga percaya di danai coba baca sejarahnya pas korea lebih buruk dari korut,negatif,0
akhirnya,positif,2
nasionalisme soal hati bukan soal domisili,negatif,0
apa pun masalahnya solusinya tetep kaburajadulu,negatif,0
saya percaya rakyat ga benci sama indonesia tapi sama pemerintah doang saya tahu saya rakyat kecil power saya kecil saya harap dengan ngetweet ini repost segala postingan tentang perbaikan negara salah satu hal yang bisa saya lakuin buat bikin perubahan di negara ini indonesiagelap,positif,2
kaya apa,negatif,0
indonesia jadi pelayan saja harus ada ijaza pembantu cari ijaza di luar negri yang penting rajin kerja saja gaji di indonesia jt di luar negri rmrb sudah jt lebih itupun kerja setengah hari,negatif,0
keluaran inovasi hp terbaru oppo dan galaxy s dpr ri uya kuya bapak bodoh provokator aparat brimob kontol chaos dmdsportday cheer for zeenunew kaburajadulu,negatif,0
walopun skripsi belum kelar tapi dia sudah kaburajadulu wkwk iri,negatif,0
sedang apa kabur orang saya masih sekolah besok kalok sudah selesai sekolah baru kabur dari negara konoha ini,negatif,0
yang pendek dekil gak cakep izasah smp sama umur di atas dapat label haram kerja di indonesia kaya nya,negatif,0
gen z di tantang iya nantang,netral,1
kita ini budak di negri sendiri jadi enaknya kita budaki mereka penguasa,negatif,0
kaburajadulu eh kotor,negatif,0
gangguin ah kaburajadulu,negatif,0
kadang maaf adalah cara untuk memulai lagi senin kaburajadulu indonesia gelap dj panda arya mohan thank kamu alwi kamis nonton believe pull indonesialengkap,negatif,0
weee doakne ben cepett bae seperti wayaeh kaburajadulu,positif,2
insyaallah one day,positif,2
ini serius pada kaburajadulu wkwkwkwk pengecut anjing,negatif,0
yang banyak yaa biar indo gak macet lagi aman dan tentram tidak ada uang huru hara lagi,positif,2
anjjj negaraa apaa inn sihh,negatif,0
wakil prabowo yang berjasa bawa pulang wowo dari kaburajadulu ngata in wowo yang jadi imigran ke jordan parah sih,negatif,0
dalam pidato agustus prabowo menyampaikan bahwa para pimpinan dpr akan melakukan pencabutan beberapa kebijakan dpr termasuk besaran tunjangan dan moratorium kunjungan kerja ke luar negeri militer campur tangan perkuat persatuan konsolidasikan kekuatan rakyat,netral,1
gk perlu bahasa gundule kui,negatif,0
lah ketahuan,negatif,0
tunggu nabung dulu,netral,1
tertawa survey membuktikan say,positif,2
tapi beberapa bulan yang lalu kalian menjelekkan gerakan kaburajadulu tertawa,negatif,0
semakin tahun negeri ini semakin hancur,negatif,0
sepakat kalau mau kerja ke luar negeri kalau di indonesia gak terlalu berguna amp berfungsi juga,negatif,0
kalau udh tua mau kabur ke tunisia dream kaburajadulu country,negatif,0
paradoks negeri kaburajadulu seruan yang tidak mampu dibaca bahkan dijadikan olok olok,negatif,0
lah kan saya cuman bertanya kocak pahami lagi konteks kalimat yang saya balas ke orang diatas itu kalau niat nya untuk kerja it s okay lah untuk kehidupan dia dan keluarga nya yang ada di indo pas kalau lulus kuliah nanti misal nya cuman kalau untuk pindah rumah atau hanya untuk senang² disana sendirian buat apa masih iya keluarga saudara atau orang tua ditinggal begitu saja gitu,negatif,0
mnding ke poland aust,netral,1
kak seburuk apapun negara kamu kamu dari lahir disini chinese ada dibelahan dunia manapun and masih chinesee and they proud,negatif,0
kita sama,netral,1
iri sama yang bisa kaburajadulu,negatif,0
ini orang bandara gak ada yang ikut mogok kerja kah biar tikus tikus itu gak melenggang ke luar negeri,negatif,0
hai kakak open joki tugas realtime ujian atau quiz bisa dm wa ke akuntansi manajemen keuangan msdm keuangan bisnis manajemen operasional export import finance audit pajak brevet manajemen s kampus luar negeri psikotes kerja,netral,1
garuda kita sudah jatuh,negatif,0
gk ada uang saudara laki-laki,negatif,0
anjaii keren bangett kamuu itu berapa bahasa jepangg kalau kata aku sii kmu kaburajadulu ke jepangg,positif,2
ini ia kak kaburajadulu,netral,1
mau ke negri orang juga mahal ges harus sekola bahasa dulu,negatif,0
mulailah lingkaran setan termasuk kenapa perusahaan lebih memilih mengambil pegawai melalui orang dalam iya soalnya mungkin menurut mereka lebih tidak beresiko daripada mengambil orang dari luar,negatif,0
kabur tanpa pegang banyak duit bisa ga si,negatif,0
cinta sendirian itu sakittt,negatif,0
sudah kaburajadulu,negatif,0
saya mau kerja di luar negri tapi gabisa bahasa luar,negatif,0
apakah begitu lucu,netral,1
jujur aku enjoy indonesia dengan segala kelebihan amp kekurangannya walau tidak menutup kemungkinan kesempatan untuk kerja studi ke luar negeri lagi dmn bbrp tahun terakhir masih ada bbrp kesempatan itu datang dg pilihan masih lebih baik di indonesia dan aku yakin walau nanti pada,positif,2
itulah pentingnya feedback bukan hanya dalam hubungan tapi juga tentang negara dan rakyat,netral,1
keluar penjara dia bakal jadi pengusaha sukses hasil korupsi nya cukup buat modal milyard untuk hukuman tahun cukuplah anggap kerja dikapal luar negeri,negatif,0
waktunya wujudkan berkarir ke luar negeri di sektor pehotelan bekerja dng gaji yang lebih pantas dan peluang besar tunggu apa lagi hubungi kami di the best way for sure kaburajadulu,netral,1
halahhhhhh lhaaa wong bapak dl juga ikutan kaburajadulu ke yordania,negatif,0
wkwkwkwkwkwkwkwkwk kasih paham sempat tuh aku baca komentar di postingan mbok kalau ga salah kami percaya karma iya boleh percaya karma tapi protes tuh juga salah satu cara agar pemerintah mau denger bukan nrimo ing pandum,negatif,0
im not trying to be julid iya sih kaburajadulu tapi ga ke negara yang lagi konflik juga bang,negatif,0
yaallah pen kaburr ke swis bawa keluarga akuu insyallah suksess harus bisa harussss walaupun banyak tantangan haruss di hadapi,positif,2
mau kaburajadulu tapi keinget sama orang tua orang tersayang,negatif,0
kalau dokumen lengkap rezeki dia kat malaysia apa salah nya please jaga attitude saya,netral,1
di indonesia kebanyakan nahan surat surat asli seperti akte,negatif,0
kerja luar negeri walaupun biaya hidupnya besar tapi rasio dg gajinya ga salipan kayak di indo asal bisa atur gaya hidup saja masalah pensiun bisa kamu nabung dan invest saat kerja itu manfaatkan selisih kurs mata uang asing dg rupiah,positif,2
dia demi uang mempertaruhkan nyawa saja rela apalagi hanya sebuah operasi false flag yang mengesankan jika kaburajadulu itu akibatnya begini loh,negatif,0
bahkan untuk nikah tanpa drama saja harus kaburajadulu,negatif,0
sodara saya kerja dijepang kuli bangunan ongkos jta gaji jt bulan,netral,1
padahal influencer kaburajadulu paling berpengaruh tuh ini,netral,1
wkwkwk semalem lagi berkumpul di kost bahas pajak teman saya yang jurusan ekonomi tbtb bilang engga itu tuh mau dikaji lagi katanya kemarin saya dari kemenkeu saya ga habis pikir ternyata ada org yang masi percaya ke pemerintah indon ini wkwk soalnya saya mah udh gada harapan,negatif,0
piis ajak saya kabur juga dong takut terlanjur indo sepi terus jadi angker,negatif,0
nah matangkan ilmu mu,positif,2
eh sumpah iya saya beneran ga habis pikir banget sm orang tua saya seperti mereka tuh benci mampus sama pemerintah dan antek anteknya mulyono tapi masihan saja percaya dan profesional wowo seperti what the fuck saya capek banget anjing,negatif,0
pergi saja kamu njinx dari indonesia kaburajadulu,negatif,0
pengen juga sii ke gini tapi belum ada modalnyaa,negatif,0
miris lihat gaji guru disini semua yang berpendidikan tinggi disini pilih kabur saja dulu ke luar soalnya pekerjaan seremeh apapun dihargai lulusan s s disini diluar negeri kerja remeh jadi pembersih banyak hasilnya bahkan lbih besar dripada kerja disini,negatif,0
syaratnya mst bisa bahasa inggris iya kannnn,netral,1
dua professional dari indonesia yang berprofesi sebagai arsitek sudah berangkat ke jepang untuk bekerja di bidang manajemen konstruksi di luar dua ini adalagi beberapa yang sudah sampai juga tapi kandidat ga berkenan untuk dipublikasikan kamu kapan ikut kaburajadulu,negatif,0
hhh saya dibully noltujuh hh line manapun tolong angkut saya plis saya udh gk kuat help sos kaburajadulu,negatif,0
ibu ku saja dapat fasilitas yang lengkap kayak apartemen uang makan kesehatan dan lain-lain nanti kalau aku sudah selesai sekolah aku mau ikut ibu ku bikin trend kaburajadulu,negatif,0
bang masih ingat aku,netral,1
ini benar benar luar biasa kerja sama mutakhir otoritas kembangkan infrastruktur rakyat isi dengan dengan inovasi kerja sama inilah kunci negeri ini berjaya di tingkat global kibarkan semangat maju,positif,2
autopart,netral,1
iya lebih baik liburan lah mereka the real tagar kaburajadulu,positif,2
hayu siniii,netral,1
selamat carmen kamu sudah menjalankan misi kaburajadulu dan dapat gaji di atas umr,positif,2
kabur ke kamboja,negatif,0
nanti encorenya sambil bawa tulisan kaburajadulu,netral,1
siapa bilang demo ini ga ada point nya ada point yang dituntut para pendemo untuk direalisasikan bahkan setelah ricuh seperti ini pun anggota dprnya bahkan wfh kaburajadulu polisinya sibuk bungkam sana sini at this point sdm rendah itu justru para anggota dpr dan polisi,negatif,0
hanya untuk orang berduit,negatif,0
nahkann apalagi kurs uang luar ke rupiah kan tinggi jadi duitnya bisa gede kalau kita tf ke kampung,netral,1
lebih ke pov kamu lagibanyakduit,netral,1
tetap semangat tetap sehat tetap kuat jangan sambat,positif,2
saya bahkan meragukan nasionalisme para koruptor,negatif,0
