created_at,full_text,id_str,platform,clean_text,sentiment,confidence
Mon Sep 29 21:54:23 +0000 2025,@daddyyuki @Delta_tofu @ch4o5Myth 9juta yen si gk kecil hukuman si berat pasti. Selamat menikmati #KaburAjaDulu. Bener2 kabur dr peradaban ,1972782030313459949,X,juta yen si gk kecil hukuman si berat pasti Selamat menikmati KaburAjaDulu Bener kabur dr peradaban,negatif,98.82
Mon Sep 29 17:10:28 +0000 2025,makin pengen #kaburajadulu,1972710583305916476,X,makin pengen kaburajadulu,negatif,98.95
Mon Sep 29 15:18:06 +0000 2025,Dari pada gaji teu dibayar mending #KaburAjaDulu,1972682303785890079,X,Dari pada gaji teu dibayar mending KaburAjaDulu,negatif,99.54
Mon Sep 29 14:53:07 +0000 2025,ya Allah pengen banget direkrut foreign company biar #KaburAjaDulu ,1972676016515502238,X,ya Allah pengen banget direkrut foreign company biar KaburAjaDulu,positif,57.98
Mon Sep 29 11:54:33 +0000 2025,@iunoverse hari yg indah untuk menjadi pelaku #KaburAjaDulu,1972631080558887350,X,hari yg indah untuk menjadi pelaku KaburAjaDulu,positif,98.12
Mon Sep 29 10:26:49 +0000 2025,@CH1MMYc00kyQT63 Info cara pindah negara #KaburAjaDulu,1972608998164857073,X,Info cara pindah negara KaburAjaDulu,netral,92.14
Mon Sep 29 10:18:42 +0000 2025,Tiap liat temen yg #kaburajadulu ikutan seneng sih tp aq mau juga ya Allah ,1972606958327963713,X,Tiap liat temen yg kaburajadulu ikutan seneng sih tp aq mau juga ya Allah,positif,97.92
Mon Sep 29 09:35:58 +0000 2025,Padahal si bowok ini pernah di tolong orang² levant jordan pas dulu #kaburajadulu,1972596204338057658,X,Padahal si bowok ini pernah di tolong orang² levant jordan pas dulu kaburajadulu,netral,84.12
Mon Sep 29 09:26:47 +0000 2025,namun tetap pada keyakinan pushing forward buat #kaburajadulu bener-bener ngepush terus lamaran di luar negri. akan aku temukan employer yang mau cover visa + relocation. bismillah ya allahhhhh!!!!,1972593892588720215,X,namun tetap pada keyakinan pushing forward buat kaburajadulu bener bener ngepush terus lamaran di luar negri akan aku temukan employer yang mau cover visa relocation bismillah ya allahhhhh,positif,91.35
Mon Sep 29 09:04:59 +0000 2025,Ya Allah terima kasih sudah diberi kesempatan untuk #KaburAjaDulu dari negara yg kualitas pejabatnya seperti ini ,1972588405868654757,X,Ya Allah terima kasih sudah diberi kesempatan untuk KaburAjaDulu dari negara yg kualitas pejabatnya seperti ini,positif,86.74
Mon Sep 29 08:43:44 +0000 2025,ini komedi papan atas STRAIGHT TO THE POINT (sbnrnya bkn males aja) (tp iya si jd males) #kaburajadulu https://t.co/YOpdDIc4CT,1972583058688852218,X,ini komedi papan atas STRAIGHT TO THE POINT sbnrnya bkn males aja tp iya si jd males kaburajadulu,negatif,99.43
Mon Sep 29 08:09:14 +0000 2025,kualitas PNS terutama di tingkat atas msh jelek kerusakan dr 2022 tidak segera tertangani. alhasil ketika ada MBG yg disalahin MBG nya pdhl baru ada di pertengahan taun ini. jadi selama 2 taun lebih ngapain aja? mau #kaburajadulu tp kasian jg sama ini negara,1972574375774970135,X,kualitas PNS terutama di tingkat atas msh jelek kerusakan dr tidak segera tertangani alhasil ketika ada MBG yg disalahin MBG nya pdhl baru ada di pertengahan taun ini jadi selama taun lebih ngapain aja mau kaburajadulu tp kasian jg sama ini negara,negatif,99.73
Mon Sep 29 07:50:24 +0000 2025,at this point buat gua opsi #kaburajadulu selalu lebih menarik selama tempat tujuannya punya: 1. Jaminan kesehatan 2. Jaminan pendidikan 3. Kepastian hukum yg lebih baik dari indo. Yg mana ini standard yg rendah banget sebenernya wkwk.,1972569635942994288,X,at this point buat gua opsi kaburajadulu selalu lebih menarik selama tempat tujuannya punya Jaminan kesehatan Jaminan pendidikan Kepastian hukum yg lebih baik dari indo Yg mana ini standard yg rendah banget sebenernya wkwk,positif,88.01
Mon Sep 29 07:14:00 +0000 2025,#KaburAjaDulu negeri jiran ada juga ,1972560475453059448,X,KaburAjaDulu negeri jiran ada juga,negatif,98.97
Mon Sep 29 05:37:07 +0000 2025,@ch4o5Myth @daddyyuki Ini yg kena arus #KaburAjaDulu udah jelas. Dibenarkan banyak netizen genZ. Dr Refa Kashiki s.d Dian (Neo Japan) ngasi paham malah diserang personal. Jaman now walau speak kebenaran tp gk sesuai maunya echo chamber auto diserang personal. Aneh ,1972536092869198202,X,Ini yg kena arus KaburAjaDulu udah jelas Dibenarkan banyak netizen genZ Dr Refa Kashiki s d Dian Neo Japan ngasi paham malah diserang personal Jaman now walau speak kebenaran tp gk sesuai maunya echo chamber auto diserang personal Aneh,negatif,99.69
Mon Sep 29 05:32:59 +0000 2025,@daddyyuki @ch4o5Myth Usia 22 bener2 korban FOMO #KaburAjaDulu ‍️,1972535054300782900,X,Usia bener korban FOMO KaburAjaDulu,negatif,97.58
Mon Sep 29 05:31:17 +0000 2025,@Delta_tofu @ch4o5Myth @daddyyuki Itu dia! Dan diberita sana ada dua nama yg kesebut : 1. INDONESIA &gt; Negara Asal 2. MUHAMMAD &gt; Nama Pelaku &gt; nama yg identik dgn umat muslim Gara2 mental kabur aja 2 identitas dirugikan Dari awal gk setuju diksi #KaburAjaDulu Kabur &gt; lari dr sesuatu tanpa mikir panjang ‍️,1972534627463270492,X,Itu dia Dan diberita sana ada dua nama yg kesebut INDONESIA gt Negara Asal MUHAMMAD gt Nama Pelaku gt nama yg identik dgn umat muslim Gara mental kabur aja identitas dirugikan Dari awal gk setuju diksi KaburAjaDulu Kabur gt lari dr sesuatu tanpa mikir panjang,negatif,99.51
Mon Sep 29 04:30:44 +0000 2025,buat adik-adik SMA bisa pertimbangkan #KaburAjaDulu kuliah Materials Engineering atau Mining-related Engineering di Jerman 🇩🇪 kuliahnya gratis di sana sejak dihapusnya UN jadinya nilai rapor/ijazah SMA Indonesia 🇮🇩 tidak diakui cari cara ya misalnya consult @schoters_com,1972519390412448198,X,buat adik adik SMA bisa pertimbangkan KaburAjaDulu kuliah Materials Engineering atau Mining related Engineering di Jerman kuliahnya gratis di sana sejak dihapusnya UN jadinya nilai rapor ijazah SMA Indonesia tidak diakui cari cara ya misalnya consult,netral,55.2
Mon Sep 29 03:51:22 +0000 2025,@goraici @FelixSGL1 kayanya gue kalo dapet kue dan kursi bakal lupa daratan juga sih wkwkwkwkwk #KaburAjaDulu,1972509479590875486,X,kayanya gue kalo dapet kue dan kursi bakal lupa daratan juga sih wkwkwkwkwk KaburAjaDulu,negatif,94.94
Mon Sep 29 01:33:56 +0000 2025,Mana yg dulu teriak2 #KaburAjaDulu?! Waktu menjawab kan! Kalau sudah gini kicep lo pada. PENGECUT! Jangan denger orang2 FOMO dengerlah mereka yg berjuang dr nol jaga nama baik seperti: Refa Enra Dian (neo japan). Bukan malah dimusuhi krn mereka speak yg bener! @ch4o5Myth https://t.co/mhYpVNmAx4,1972474896027619618,X,Mana yg dulu teriak KaburAjaDulu Waktu menjawab kan Kalau sudah gini kicep lo pada PENGECUT Jangan denger orang FOMO dengerlah mereka yg berjuang dr nol jaga nama baik seperti Refa Enra Dian neo japan Bukan malah dimusuhi krn mereka speak yg bener,negatif,98.55
Mon Sep 29 00:03:15 +0000 2025,Terima kasih kamar ini yang sudah menjadi awal pertualangan yang seru. Sekarang waktunya saya izin meninggalkan tempat ini untuk melebarkan sayap ke negeri yang baru. Bismillah. Semoga dilancarkan di negeri singa keluar air itu #KaburAjaDulu https://t.co/zRLLWhbM97,1972452072722510231,X,Terima kasih kamar ini yang sudah menjadi awal pertualangan yang seru Sekarang waktunya saya izin meninggalkan tempat ini untuk melebarkan sayap ke negeri yang baru Bismillah Semoga dilancarkan di negeri singa keluar air itu KaburAjaDulu,positif,98.53
Sun Sep 28 23:21:05 +0000 2025,oke ga jadi #kaburajadulu tapi gapapa https://t.co/e0sWyKU0zb,1972441460709703781,X,oke ga jadi kaburajadulu tapi gapapa,positif,77.05
Sun Sep 28 20:30:35 +0000 2025,@dick76083 Org singapur udah ngomong kayak gitu apa kaga malu ya org indo yg mau atau udah #kaburajadulu ? ,1972398554468749515,X,Org singapur udah ngomong kayak gitu apa kaga malu ya org indo yg mau atau udah kaburajadulu,negatif,99.11
Sun Sep 28 15:47:03 +0000 2025,Terus i told yang ti that i will go to jogja this dec to take jlpt. And she was like kenapa jauh sekali dibelabelain tes memang buat apa? . Kujawab #kaburajadulu terus she was genuinely concerned kabur dari apa? kenapaa? dibicarakan dulu... GOD PROTECT THIS WOMAN PLS ,1972327200922935440,X,Terus i told yang ti that i will go to jogja this dec to take jlpt And she was like kenapa jauh sekali dibelabelain tes memang buat apa Kujawab kaburajadulu terus she was genuinely concerned kabur dari apa kenapaa dibicarakan dulu GOD PROTECT THIS WOMAN PLS,negatif,97.06
Sun Sep 28 15:16:36 +0000 2025,apply aja apa ya ya allah ? #kaburajadulu gitu maksudku.,1972319538424545640,X,apply aja apa ya ya allah kaburajadulu gitu maksudku,negatif,98.76
Sun Sep 28 15:01:06 +0000 2025,@bunuhidolamu @hrdbacot Udah bisa adu nasib sama negara 4 seasons indonesia selain pemerintah macam iblis cuaca juga bikin gatahan. Baiknya memang #kaburajadulu https://t.co/JC67THrKSl,1972315638585790905,X,Udah bisa adu nasib sama negara seasons indonesia selain pemerintah macam iblis cuaca juga bikin gatahan Baiknya memang kaburajadulu,negatif,97.86
Sun Sep 28 14:27:55 +0000 2025,Mau banget jawab ini insyaAllah ketika dapat kepastian #kaburajadulu. Ikhtiar terus pokoknya.,1972307284991868937,X,Mau banget jawab ini insyaAllah ketika dapat kepastian kaburajadulu Ikhtiar terus pokoknya,positif,98.02
Sun Sep 28 13:05:46 +0000 2025,@weebszz dan bodohnya mereka menyempitkan makna keresahan masyarakat dari #KaburAjaDulu sebagai persoalan kurangnya nasionalisme yg gak masuk akal itu,1972286611795918972,X,dan bodohnya mereka menyempitkan makna keresahan masyarakat dari KaburAjaDulu sebagai persoalan kurangnya nasionalisme yg gak masuk akal itu,negatif,99.68
Sun Sep 28 12:58:51 +0000 2025,@tanyarlfes Bisa kok di toko emas manapun jg bisa. Khusus antam bahkan bisa dijual di luar negeri krn wes akreditasi LBMA jd bisa utk modal #kaburajadulu ke LN,1972284873957318731,X,Bisa kok di toko emas manapun jg bisa Khusus antam bahkan bisa dijual di luar negeri krn wes akreditasi LBMA jd bisa utk modal kaburajadulu ke LN,positif,53.53
Sun Sep 28 12:43:21 +0000 2025,@tanyakanrl #kaburajadulu kalian mau kemana? Kalau aku sih ke Jerman atau Swiss,1972280973216940289,X,kaburajadulu kalian mau kemana Kalau aku sih ke Jerman atau Swiss,negatif,98.21
Sun Sep 28 12:17:05 +0000 2025,Dua professional dari Indonesia yang berprofesi sebagai arsitek sudah berangkat ke Jepang untuk bekerja di bidang manajemen konstruksi. Di luar dua ini adalagi beberapa yang sudah sampai juga tapi kandidat ga berkenan untuk dipublikasikan. Kamu kapan ikut #KaburAjaDulu ? https://t.co/8xOYOgNRHI,1972274360624034049,X,Dua professional dari Indonesia yang berprofesi sebagai arsitek sudah berangkat ke Jepang untuk bekerja di bidang manajemen konstruksi Di luar dua ini adalagi beberapa yang sudah sampai juga tapi kandidat ga berkenan untuk dipublikasikan Kamu kapan ikut KaburAjaDulu,negatif,96.8
Sun Sep 28 11:35:24 +0000 2025,@odebukanpuisi Pembunuh yang diselamatkan ke Yordania sekaligus Testimoni #KaburAjaDulu,1972263873333076272,X,Pembunuh yang diselamatkan ke Yordania sekaligus Testimoni KaburAjaDulu,netral,99.38
Sun Sep 28 11:30:43 +0000 2025,ni ada studytwt tpi khusus buat fokus ngincer S2 di luar negeri kah? I seriously considering S2 abroad buat #kaburajadulu,1972262693928407294,X,ni ada studytwt tpi khusus buat fokus ngincer S di luar negeri kah I seriously considering S abroad buat kaburajadulu,netral,51.61
Sun Sep 28 10:00:01 +0000 2025,[ADS] Buat yang tertarik bisa follow @les_kopula dulu biar gak ketinggalan info! Share juga biar temen kalian yang butuh untuk #KaburAjaDulu bisa ikut #BeasiswaKopula ini ya!,1972239865749316016,X,ADS Buat yang tertarik bisa follow dulu biar gak ketinggalan info Share juga biar temen kalian yang butuh untuk KaburAjaDulu bisa ikut BeasiswaKopula ini ya,netral,83.93
Sun Sep 28 07:54:44 +0000 2025,buka x sekarang cuma buat cari motivasi belajar karena tiap buka x bawaannya muak sama pemerintah disini pengen buru-buru #kaburajadulu,1972208336902017120,X,buka x sekarang cuma buat cari motivasi belajar karena tiap buka x bawaannya muak sama pemerintah disini pengen buru buru kaburajadulu,negatif,99.82
Sun Sep 28 05:28:44 +0000 2025,@catsandkatzen tempo hari baca diskursus #kaburajadulu versi wni dengan gaji 35 100++ gives me another perspective tbh tapi kepentok fakta bahwa SESULIT itu buat dapet well-paid job di sini. it takes special skills real luck and the right opportunity (and or maybe link).,1972171597340725702,X,tempo hari baca diskursus kaburajadulu versi wni dengan gaji gives me another perspective tbh tapi kepentok fakta bahwa SESULIT itu buat dapet well paid job di sini it takes special skills real luck and the right opportunity and or maybe link,positif,49.69
Sun Sep 28 02:56:09 +0000 2025,duluan ya #KaburAjaDulu https://t.co/OPPryeZzUI,1972133198030315706,X,duluan ya KaburAjaDulu,negatif,99.54
Sun Sep 28 01:59:04 +0000 2025,@Waelaahh Ehhh itu repost 2 minggu yg lalu edisi lg kangen Negara orang aja #KaburAjaDulu,1972118833923244309,X,Ehhh itu repost minggu yg lalu edisi lg kangen Negara orang aja KaburAjaDulu,negatif,88.34
Sun Sep 28 01:53:57 +0000 2025,@ekky1995 Secara ga langsung Indonesia dianggap super power oleh Malaysia dan Singapore bisa ngatur FIFA #KaburAjaDulu,1972117543952568373,X,Secara ga langsung Indonesia dianggap super power oleh Malaysia dan Singapore bisa ngatur FIFA KaburAjaDulu,negatif,93.83
Sat Sep 27 23:18:58 +0000 2025,ADUH MENDING AKU JADI WARGA SAUDI AJA #kaburajadulu,1972078541304181191,X,ADUH MENDING AKU JADI WARGA SAUDI AJA kaburajadulu,negatif,99.71
Sat Sep 27 15:55:34 +0000 2025,Rasanya ingin #kaburajadulu,1971966958125060400,X,Rasanya ingin kaburajadulu,negatif,99.07
Sat Sep 27 14:15:04 +0000 2025,@reynaa Congratssss ieltsnya karuyaaa! Maw robux @Syavierla ajh karna dah pensi palo selain karna skinku bacon i just wish u allllll the best on your long journey kedepannyaaa doakan ak juga bisa dapet skor tinggi dan one shot pas tes jerman ntar semoga kita sukses via #Kaburajadulu,1971941666396557512,X,Congratssss ieltsnya karuyaaa Maw robux ajh karna dah pensi palo selain karna skinku bacon i just wish u allllll the best on your long journey kedepannyaaa doakan ak juga bisa dapet skor tinggi dan one shot pas tes jerman ntar semoga kita sukses via Kaburajadulu,positif,98.6
Sat Sep 27 14:01:39 +0000 2025,@adith_wp @LutfiHidayatR Udah jadi penggerak #KaburAjaDulu kok ga bisa lari,1971938289646293042,X,Udah jadi penggerak KaburAjaDulu kok ga bisa lari,negatif,99.67
Sat Sep 27 12:26:33 +0000 2025,@kiokunodilemma @hrdbacot Jalan2 sama tinggal 1-2 tahun beda sh ka rasanya. Walopun kangen sama abang2 cilok ato nasgor tetep menurut gw ga bisa menghalangi gw utk ga #kaburajadulu,1971914356670845155,X,Jalan sama tinggal tahun beda sh ka rasanya Walopun kangen sama abang cilok ato nasgor tetep menurut gw ga bisa menghalangi gw utk ga kaburajadulu,positif,98.62
Sat Sep 27 09:24:45 +0000 2025,Dari awal tahun udah rencana #kaburajadulu karena alasan ekonomi sekarang makin yakin untuk cabut dari sini karena pemerentahnya pendukung zionis,1971868605362196501,X,Dari awal tahun udah rencana kaburajadulu karena alasan ekonomi sekarang makin yakin untuk cabut dari sini karena pemerentahnya pendukung zionis,negatif,96.31
Sat Sep 27 08:22:57 +0000 2025,@inboundandhot kan mereka gapeduli sama orang lain maunya #KaburAjaDulu,1971853051251290189,X,kan mereka gapeduli sama orang lain maunya KaburAjaDulu,negatif,99.64
Sat Sep 27 05:30:10 +0000 2025,@hrdbacot Yeyy tahun ini lulus smoga bisa #kaburajadulu,1971809568205557868,X,Yeyy tahun ini lulus smoga bisa kaburajadulu,positif,93.89
Sat Sep 27 05:12:42 +0000 2025,@dityaawahyu Amannn capt udeh sukses dah yeee #KaburAjaDulu,1971805175104131548,X,Amannn capt udeh sukses dah yeee KaburAjaDulu,positif,98.48
Sat Sep 27 05:07:53 +0000 2025,Pamer otot Kepencet follow kabur #kaburajadulu,1971803963524874305,X,Pamer otot Kepencet follow kabur kaburajadulu,negatif,99.67
Sat Sep 27 04:07:31 +0000 2025,Boleh ga sih #kaburajadulu dari keluarga? Gue capek banget: ,1971788769562099721,X,Boleh ga sih kaburajadulu dari keluarga Gue capek banget,negatif,99.67
Sat Sep 27 01:43:30 +0000 2025,Gits kl ga inget kerjaan dia sebagai idol ibu kota kayaknya udah ikutan trend #kaburajadulu tuh dia ,1971752526929383468,X,Gits kl ga inget kerjaan dia sebagai idol ibu kota kayaknya udah ikutan trend kaburajadulu tuh dia,positif,81.98
Sat Sep 27 00:38:50 +0000 2025,Tempo kok mau angkut cerita legenda rakyat pdhl saksi mata &amp; bukti foto ada dia #kaburajadulu,1971736252610486631,X,Tempo kok mau angkut cerita legenda rakyat pdhl saksi mata amp bukti foto ada dia kaburajadulu,negatif,99.01
Fri Sep 26 23:43:10 +0000 2025,Mau #KaburAjaDulu ke Australia? Ingin hijrah &amp; jadi penduduk tetap di sana? 🇦🇺 Bagaimana caranya? Gak usah bingung segera Hubungi INTEGRITY LAWYERS satu-satunya law firm Indonesia yang berpraktik di Australia berkantor di Melbourne Sydney selain Jakarta. Profesor Denny https://t.co/EU601ThbTE,1971722243857436866,X,Mau KaburAjaDulu ke Australia Ingin hijrah amp jadi penduduk tetap di sana Bagaimana caranya Gak usah bingung segera Hubungi INTEGRITY LAWYERS satu satunya law firm Indonesia yang berpraktik di Australia berkantor di Melbourne Sydney selain Jakarta Profesor Denny,netral,83.91
Fri Sep 26 23:02:50 +0000 2025,Influencer NON Berbayar. Niat kami hanya ingin MENCEGAH penipuan cara gampang cari kerja dan pindah ke Australia 🇦🇺 yg blakangan marak banget. Penipunya makin GAMPANG dapet korban karena netijen terprovokasi tagar #kaburajadulu Merantau itu keren tapi ga bisa FOMO https://t.co/Km5KJQFWQZ,1971712092429586506,X,Influencer NON Berbayar Niat kami hanya ingin MENCEGAH penipuan cara gampang cari kerja dan pindah ke Australia yg blakangan marak banget Penipunya makin GAMPANG dapet korban karena netijen terprovokasi tagar kaburajadulu Merantau itu keren tapi ga bisa FOMO,negatif,98.8
Fri Sep 26 01:56:02 +0000 2025,Kirain dah duluan #kaburajadulu ,1971393292815507569,X,Kirain dah duluan kaburajadulu,negatif,99.62
Fri Sep 26 00:50:16 +0000 2025,@kiokunodilemma @hrdbacot Kak emg ga benci negaranya. Hasrat #kaburajadulu tu karena udah desperate mo bnerin sistemnya gmn. Mo usaha di pemilu juga blom ada hasil.,1971376742217678884,X,Kak emg ga benci negaranya Hasrat kaburajadulu tu karena udah desperate mo bnerin sistemnya gmn Mo usaha di pemilu juga blom ada hasil,negatif,99.5
Fri Sep 26 00:37:21 +0000 2025,Iya ngga ya? #KaburAjaDulu https://t.co/PpGU1vOOhl,1971373492777185760,X,Iya ngga ya KaburAjaDulu,negatif,97.15
Thu Sep 25 23:57:07 +0000 2025,@hrdbacot Long termnya ya #kaburajadulu tentu aja concernnya lebih ke anak sih. Temen ada yg awalnya kerja di Norway tapi terus dibawa keluarganya. Dengan penghasilannya di situ udah enak banget lah untuk hidup di Indo. Tapi concernnya pendidikan &amp; kesempatan yg lebih luas untuk anaknya.,1971363365755945091,X,Long termnya ya kaburajadulu tentu aja concernnya lebih ke anak sih Temen ada yg awalnya kerja di Norway tapi terus dibawa keluarganya Dengan penghasilannya di situ udah enak banget lah untuk hidup di Indo Tapi concernnya pendidikan amp kesempatan yg lebih luas untuk anaknya,positif,98.8
Thu Sep 25 23:50:49 +0000 2025,@hrdbacot Udah masuk range itu tapi so far belum ada tekad bulat untuk #kaburajadulu sih tapi kalo ada kesempatan kerja di Middle East GoM Africa atau bahkan North Sea ya pasti diambil. Dapet penghasilan ekspat tapi tinggal di Indonesia sih yg dikejar dulu untuk short termnya.,1971361780044820944,X,Udah masuk range itu tapi so far belum ada tekad bulat untuk kaburajadulu sih tapi kalo ada kesempatan kerja di Middle East GoM Africa atau bahkan North Sea ya pasti diambil Dapet penghasilan ekspat tapi tinggal di Indonesia sih yg dikejar dulu untuk short termnya,positif,53.02
Thu Sep 25 23:38:23 +0000 2025,@hrdbacot lohh justru orang dengan gaji &gt;35 juta malah makin mau #kaburajadulu ga sih min karena udah ada modal. yang ga mau antara daerah rumahnya nyaman karena keluarga atau pejabat pemerintah,1971358651953840250,X,lohh justru orang dengan gaji gt juta malah makin mau kaburajadulu ga sih min karena udah ada modal yang ga mau antara daerah rumahnya nyaman karena keluarga atau pejabat pemerintah,negatif,99.46
Thu Sep 25 21:15:14 +0000 2025,Ga ada kepikiran #kaburajadulu krn sudah berkeluarga dan ortu masih ada. Plus disuruh jagain warisan keluarga. Di Sukabumi polusi sedikit transum mmg ga ok tapi suhu udaranya yg adem banyak pegunungan air terjun laut bikin ga mau geser kemanapun. Jam kerja flexible,1971322626082845119,X,Ga ada kepikiran kaburajadulu krn sudah berkeluarga dan ortu masih ada Plus disuruh jagain warisan keluarga Di Sukabumi polusi sedikit transum mmg ga ok tapi suhu udaranya yg adem banyak pegunungan air terjun laut bikin ga mau geser kemanapun Jam kerja flexible,positif,98.39
